"name","n","observedRichness","iNEXT_est","iNEXT_lower","iNEXT_upper","iNEXT_increasePercent","iChao_est","iChao_lower","iChao_upper","iChao_increasePercent","level","iNEXT_increase","iChao_increase"
"Africa",252854,4976,6357,6176,6537,21.72,6665,6530,6812,25.34,"Continental",1381,1689
"Asia",195883,6184,8102,7910,8295,23.68,8529,8369,8700,27.49,"Continental",1918,2345
"Europe",3388179,2516,3113,3016,3210,19.18,3238,3143,3348,22.31,"Continental",597,722
"North America",2774701,5526,6367,6233,6501,13.21,6528,6412,6660,15.35,"Continental",841,1002
"Oceania",265536,2049,2415,2337,2493,15.16,2481,2411,2564,17.41,"Continental",366,432
"South America",401983,4349,5492,5340,5645,20.81,5736,5601,5885,24.17,"Continental",1143,1387
"Afghanistan",1633,305,477,416,539,36.11,509,454,584,40.07,"Country",172,204
"Albania",2155,249,367,320,414,32.17,395,360,442,37,"Country",118,146
"Algeria",7599,858,1223,1128,1319,29.85,1298,1225,1385,33.88,"Country",365,440
"Andorra",120,55,70,49,90,20.95,73,67,82,24.8,"Country",15,18
"Angola",1936,188,376,308,445,50.07,400,324,517,52.96,"Country",188,212
"Anguilla",61,24,52,4,100,53.58,56,35,115,56.94,"Country",28,32
"Argentina",62677,1277,1628,1552,1704,21.57,1703,1635,1783,25.01,"Country",351,426
"Armenia",3112,536,773,701,844,30.62,827,773,893,35.17,"Country",237,291
"Australia",243172,1615,1818,1759,1876,11.15,1865,1820,1919,13.41,"Country",203,250
"Austria",42849,735,875,820,930,16,909,872,956,19.11,"Country",140,174
"Azerbaijan",1441,583,997,901,1094,41.53,1084,999,1186,46.21,"Country",414,501
"Bahamas",496,48,60,39,81,20.06,63,56,76,23.87,"Country",12,15
"Bangladesh",210,27,35,14,57,23.14,37,30,56,26.62,"Country",8,10
"Belarus",3845,333,454,403,506,26.72,478,439,531,30.32,"Country",121,145
"Belgium",423244,423,464,430,498,8.8,473,452,510,10.55,"Country",41,50
"Belize",2965,163,200,170,229,18.31,208,191,233,21.47,"Country",37,45
"Benin",252,47,196,0,439,76.07,200,96,524,76.51,"Country",149,153
"Bermuda",54,7,10,4,16,29.61,11,8,30,34.54,"Country",3,4
"Bhutan",448,60,100,30,169,39.95,104,77,170,42.04,"Country",40,44
"Bolivia",17369,696,1008,912,1104,30.97,1045,966,1148,33.42,"Country",312,349
"Bosnia and Herzegovina",1254,244,390,328,451,37.37,417,368,485,41.43,"Country",146,173
