"","scientificName","n","doiORurl","publicationYear"
"55","Lasioglossum solitarium (Warncke, 1975)",NA,NA,NA
"56","Lasioglossum splendidulum (Vachal, 1895)",NA,NA,NA
"57","Anthidium rufitarse Friese, 1917",NA,NA,NA
"58","Dufourea pseudometallica Wu, 1990",NA,NA,NA
"59","Patagonicola aenigma (Packer, 2007)",NA,NA,NA
"60","Perditomorpha nordestina (Urban, 2006)",NA,NA,NA
"61","Tetragonula vikrami Viraktamath, 2022",NA,NA,NA
"62","Lepidotrigona thenzawlensis Viraktamath and Thangjam, 2022",NA,NA,NA
"63","Andrena kathmanduensis Tadauchi and Matsumura, 2007",NA,NA,NA
"64","Hoplitis recta (Pérez, 1902)",NA,NA,NA
"65","Coelioxys squamatulus (Pasteels, 1977)",NA,NA,NA
"66","Lasioglossum dorchini Pauly, 2020",NA,NA,NA
"67","Palaeorhiza persimilis Hirashima, 1983",NA,NA,NA
"68","Megachile curtuloides Pasteels, 1973",NA,NA,NA
"69","Andrena rugulosella Osytshnjuk, 1993",NA,NA,NA
"70","Eucera tristis Morawitz, 1876",NA,NA,NA
"71","Lipotriches alberti (Cockerell, 1942)",NA,NA,NA
"72","Nomada nigrilabris Schwarz and Smit, 2018",NA,NA,NA
"73","Nomada tauri Schwarz, Smit and Ockermüller, 2020",NA,NA,NA
"74","Andrena zharkolia Osytshnjuk, 1994",NA,NA,NA
"75","Lasioglossum textorium (Benoist, 1957)",NA,NA,NA
"76","Osmia nigroscopula (Wu, 1982)",NA,NA,NA
"77","Maynenomia lonavlaensis Pauly, 2009",NA,NA,NA
"78","Haetosmia pakistaniensis Müller and Griswold, 2017",NA,NA,NA
"79","Palaeorhiza viridiceps Hirashima and Lieftinck, 1983",NA,NA,NA
"80","Anthidium kvakicum Mavromoustakis, 1939",NA,NA,NA
"81","Hoplitis sichuanensis Wu, 1993",NA,NA,NA
"82","Lasioglossum apostoli Ebmer, 1970",NA,NA,NA
"83","Eucera griseohirta Risch, 2001",NA,NA,NA
"84","Coelioxys laevicollis Friese, 1922",NA,NA,NA
"85","Brachynomada cearensis (Ducke, 1910)",NA,NA,NA
"86","Ceratina chalcea Spinola, 1841",NA,NA,NA
"87","Megachile fuliginosa Friese, 1925",NA,NA,NA
"88","Augochloropsis bruchi (Schrottky, 1908)",NA,NA,NA
"89","Mydrosoma sinaloa Michener, 1986",NA,NA,NA
"90","Coelioxys pilivalva Friese, 1922",NA,NA,NA
"91","Hoplitis picicornis (Morawitz, 1894)",NA,NA,NA
"92","Coelioxys domesticus Holmberg, 1918",NA,NA,NA
"93","Reepenia triangulifera_unavailable (Friese, 1909)",NA,NA,NA
"94","Ceratina caveata Roig-Alsina, 2013",NA,NA,NA
"95","Andrena jeholensis Yasumatsu, 1935",NA,NA,NA
"96","Stenoheriades prionota Griswold, 1994",NA,NA,NA
"97","Neocorynura proserpina Gonçalves, 2019",NA,NA,NA
"98","Sphecodes luzonicus Blüthgen, 1925",NA,NA,NA
"99","Exomalopsis atlantica Silveira, 1996",NA,NA,NA
"100","Andrena dmitrii Osytshnjuk, 1993",NA,NA,NA
