"","scientificName","n","doiORurl","publicationYear"
"1","Melissoptila buzzii Urban, 1998",NA,NA,NA
"2","Habrophorula rubigolabralis Wu, 2000",NA,NA,NA
"3","Anthophora angolensis (Dalla Torre, 1896)",NA,NA,NA
"4","Megachile krebsiana Strand, 1911",NA,NA,NA
"5","Austronomia schroederi (Strand, 1914)",NA,NA,NA
"6","Sphecodes vachali Meyer, 1925",NA,NA,NA
"7","Paratetrapedia venezuelana (Aguiar and Melo, 2007)",NA,NA,NA
"8","Pseudapis trigonotarsis (He and Wu, 1990)",NA,NA,NA
"9","Cyphanthidium whiteheadi Eardley and Griswold, 2018",NA,NA,NA
"10","Andrena gusenleitneri Tadauchi and Xu, 2002",NA,NA,NA
"11","Coelioxys concolor Friese, 1922",NA,NA,NA
"12","Colletes pannonicus Hölzler and Mazzucco, 2011",NA,NA,NA
"13","Pseudaugochlora crawfordi (Vachal, 1904)",NA,NA,NA
"14","Goniocolletes rugosus Maynard, 2013",NA,NA,NA
"15","Coelioxys magrettii Friese, 1915",NA,NA,NA
"16","Lasioglossum castrorum (Blüthgen, 1931)",NA,NA,NA
"17","Ceratina emeiensis Wu, 2000",NA,NA,NA
"18","Centris germani Vivallo, 2021",NA,NA,NA
"19","Augochloropsis selloi (Vachal, 1911)",NA,NA,NA
"20","Paracorynurella difficillima (Ducke, 1906)",NA,NA,NA
"21","Halictus rossicus Ebmer, 1978",NA,NA,NA
"22","Amegilla simbana (Cockerell, 1936)",NA,NA,NA
"23","Ceratina ahngeri Kokujev, 1905",NA,NA,NA
"24","Lasioglossum subbuteo (Warncke, 1982)",NA,NA,NA
"25","Chlerogella anchicaya Engel, Gonzalez and Hinojosa-Díaz, 2014",NA,NA,NA
"26","Pachymelus beharensis Benoist, 1962",NA,NA,NA
"27","Perdita discors Timberlake, 1964",NA,NA,NA
"28","Trachusa wuae Niu, 2019",NA,NA,NA
"29","Euryglossula purpurea Batley, 2016",NA,NA,NA
"30","Caenaugochlora wilmattae (Cockerell, 1912)",NA,NA,NA
"31","Centris scutellaris Friese, 1899",NA,NA,NA
"32","Xenorhiza robertsi Hirashima, 1996",NA,NA,NA
"33","Halictus nuristanicus Pesenko, 2005",NA,NA,NA
"34","Sphecodes pseudoredivivus Astafurova and Proshchalykin, 2020",NA,NA,NA
"35","Nomada barbata Schwarz, Smit and Ockermüller, 2020",NA,NA,NA
"36","Lestrimelitta diminuta Guevara, Gonzalez and Ospina, 2020",NA,NA,NA
"37","Centris niveiceps Vivallo, 2020",NA,NA,NA
"38","Lasioglossum feai (Vachal, 1895)",NA,NA,NA
"39","Centris electra Vivallo, 2022",NA,NA,NA
"40","Megachile azarica Cockerell, 1945",NA,NA,NA
"41","Lasioglossum altissimum (Pauly, 1986)",NA,NA,NA
"42","Lasioglossum macilentum (Benoist, 1944)",NA,NA,NA
"43","Pseudagapostemon eliasi Cure, 1989",NA,NA,NA
"44","Megachile serrulata Dalla Torre, 1896",NA,NA,NA
"45","Augochlora scabrata Lepeco and Gonçalvez, 2020",NA,NA,NA
"46","Xenorhiza krombeini Hirashima, 1996",NA,NA,NA
"47","Coelioxys bruchi Schrottky, 1909",NA,NA,NA
"48","Tetralonioidella insidiosa (Lieftinck, 1944)",NA,NA,NA
"49","Andrena anzu Tadauchi and Hirashima, 1987",NA,NA,NA
"50","Anthrenoides falsificus Urban, 2007",NA,NA,NA
"51","Palaeorhiza excavata Hirashima and Abe, 1996",NA,NA,NA
"52","Lasioglossum messoropse Ebmer, 2002",NA,NA,NA
"53","Tetrapedia pulchella Moure, 1999",NA,NA,NA
"54","Augochlora detudis (Vachal, 1911)",NA,NA,NA
