"","scientificName","n","doiORurl","publicationYear"
"1","Anthophora trochanterica Morawitz, 1888",NA,NA,NA
"2","Anthidium striatum Wu, 2004",NA,NA,NA
"3","Halictus placidulus Blüthgen, 1923",NA,NA,NA
"4","Centris electilis Vivallo, 2022",NA,NA,NA
"5","Lasioglossum decorum Gardner and Gibbs, 2020",NA,NA,NA
"6","Sphecodes sauteri Meyer, 1925",NA,NA,NA
"7","Hylaeus maoxianus Dathe, 2015",NA,NA,NA
"8","Colletes transitorius Noskiewicz, 1936",NA,NA,NA
"9","Nomia argenteobalteata Cameron, 1902",NA,NA,NA
"10","Hylaeus abyssinicus (Alfken, 1905)",NA,NA,NA
"11","Santiago wittmanni Urban, 2003",NA,NA,NA
"12","Megachile aurijubis Vachal, 1908",NA,NA,NA
"13","Anthrenoides albinoi Urban, 2005",NA,NA,NA
"14","Augochlorella mavricera Gonçalves, 2019",NA,NA,NA
"15","Corynura challhuacoensis González-Vaquero and Roig-Alsina, 2017",NA,NA,NA
"16","Ptiloglossa fassli Friese, 1925",NA,NA,NA
"17","Lasioglossum sikkimense (Blüthgen, 1926)",NA,NA,NA
"18","Augochlora hirsuta Lepeco and Gonçalvez, 2020",NA,NA,NA
"19","Tetrapedia nigropilosa Moure, 1999",NA,NA,NA
"20","Coelioxys rotundiscutum (Pasteels, 1977)",NA,NA,NA
"21","Pseudoanthidium pictipes (Morawitz, 1893)",NA,NA,NA
"22","Anthophora soikai Benoist, 1961",NA,NA,NA
"23","Anthophora glasunovi Morawitz, 1893",NA,NA,NA
"24","Exaerete kimseyae M. L. Oliveira, 2011",NA,NA,NA
"25","Ceratina atra Friese, 1917",NA,NA,NA
"26","Sphecodes ikudomei Mitai and Tadauchi, 2013",NA,NA,NA
"27","Megachile pleuralis Vachal, 1908",NA,NA,NA
"28","Halictus determinandus Dalla Torre, 1896",NA,NA,NA
"29","Ceratina bhawani Bingham, 1908",NA,NA,NA
"30","Andrena carinigena Wu, 1982",NA,NA,NA
"31","Andrena transhissarica Popov, 1958",NA,NA,NA
"32","Melissoptila fulvonigra Urban, 1988",NA,NA,NA
"33","Megachile rhyssalus Wu, 2005",NA,NA,NA
"34","Megachile chamacoco Schrottky, 1913",NA,NA,NA
"35","Colletes subdilatatus Metz, 1910",NA,NA,NA
"36","Nomada baldiniana Benzi, 1892",NA,NA,NA
"37","Anthrenoides caatingae Urban, 2006",NA,NA,NA
"38","Augochlora microsticta Moure, 1943",NA,NA,NA
"39","Anthidium atacamense Gonzalez and Griswold, 2013",NA,NA,NA
"40","Andrena atrohirta Morawitz, 1893",NA,NA,NA
"41","Nomada nigrifrons Schwarz and Smit, 2018",NA,NA,NA
"42","Megachile trisecta (Pasteels, 1976)",NA,NA,NA
"43","Andrena kishidai Yasumatsu, 1935",NA,NA,NA
"44","Meliturgula bonheimi Eardley, 2009",NA,NA,NA
"45","Megachile tenorai (Tkalců, 1969)",NA,NA,NA
"46","Anthidiellum bimaculatum (Friese, 1914)",NA,NA,NA
"47","Nomada dives Erichson, 1849",NA,NA,NA
"48","Nomia camerunensis (Pauly, 1990)",NA,NA,NA
"49","Andrena orientaliella Osytshnjuk, 1986",NA,NA,NA
"50","Anthophora doursiana (Friese, 1897)",NA,NA,NA
"51","Anthidium platyfrons Gonzalez and Griswold, 2013",NA,NA,NA
"52","Augochlora xesis (Vachal, 1911)",NA,NA,NA
"53","Megachile pinguiventris Pasteels, 1965",NA,NA,NA
"54","Sphecodes galeritus Blüthgen, 1927",NA,NA,NA
"55","Ceratina fioreseana Oliveira, 2020",NA,NA,NA
"56","Augochloropsis splendida (Smith, 1853)",NA,NA,NA
"57","Liphanthus abotorabi Mir Sharifi and Packer, 2019",NA,NA,NA
"58","Andrena steini Tadauchi and Xu, 2003",NA,NA,NA
"59","Colletes isabelae Balboa and Ayala, 2017",NA,NA,NA
"60","Halictus surabadensis Ebmer, 1975",NA,NA,NA
"61","Eulonchopria limbella (Vachal, 1909)",NA,NA,NA
"62","Triepeolus exilicurvus Rightmyer, 2008",NA,NA,NA
"63","Lasioglossum socorium (Blüthgen, 1924)",NA,NA,NA
"64","Austronomia sphecodoides Pauly, 1991",NA,NA,NA
"65","Coelioxys fimbriatus Friese, 1922",NA,NA,NA
"66","Lasioglossum saxatile (Warncke, 1984)",NA,NA,NA
"67","Lasioglossum fulgonitens Ebmer, 1982",NA,NA,NA
"68","Wainia gessorum Kuhlmann, 2011",NA,NA,NA
"69","Sphecodes dissimilandus (Cameron, 1897)",NA,NA,NA
"70","Anthophora trilineata (Pérez, 1907)",NA,NA,NA
"71","Coelioxys joergensenianus Holmberg, 1916",NA,NA,NA
"72","Megachile mlanjensis Meade-Waldo, 1913",NA,NA,NA
"73","Augochlora fugax (Vachal, 1904)",NA,NA,NA
"74","Centris garleppi (Schrottky, 1913)",NA,NA,NA
"75","Panurginus mikhno Romankova and Astafurova, 2011",NA,NA,NA
"76","Caenohalictus intermedius Rojas and Toro, 2000",NA,NA,NA
"77","Megachile dubiosa Friese, 1909",NA,NA,NA
"78","Eremaphanta minuta Popov, 1957",NA,NA,NA
