"","scientificName","n","doiORurl","publicationYear"
"79","Spinolapis nitidiventris (Compagnucci and Roig-Alsina, 2008)",NA,NA,NA
"80","Sphecodes abessinicus Friese, 1915",NA,NA,NA
"81","Caupolicana rupestris Zama, Ferrari, Coelho and Silveira, 2019",NA,NA,NA
"82","Melitta indica Saini and Chandra, 2019",NA,NA,NA
"83","Scrapter willemstrydomi Kuhlmann, 2020",NA,NA,NA
"84","Stelis modesta Alfken, 1931",NA,NA,NA
"85","Colletes hawkingi Ferrari, 2019",NA,NA,NA
"86","Andrena vasta Xu and Tadauchi, 2009",NA,NA,NA
"87","Euryglossa grisea (Alfken, 1907)",NA,NA,NA
"88","Melissoptila clypeata Urban, 1998",NA,NA,NA
"89","Centris multistriata Vivallo, 2020",NA,NA,NA
"90","Goniocolletes albopilosus (Rayment, 1930)",NA,NA,NA
"91","Megommation amazonicum Gonçalves and Santos, 2010",NA,NA,NA
"92","Coelioxys tenacior Holmberg, 1916",NA,NA,NA
"93","Halictus_sensu_lato pilicrus Friese, 1921",NA,NA,NA
"94","Megachile conjugalis Mitchell, 1930",NA,NA,NA
"95","Coelioxys jordianus Rocha-Filho, 2015",NA,NA,NA
"96","Megachile clariceps Friese, 1917",NA,NA,NA
"97","Halictus bulbiceps Blüthgen, 1929",NA,NA,NA
"98","Lasioglossum epicinctum (Strand, 1914)",NA,NA,NA
"99","Braunsapis narendrani Jobiraj, 2004",NA,NA,NA
"100","Nomada schulthessi Schwarz, 1999",NA,NA,NA
