"","scientificName","n","doiORurl","publicationYear"
"1","Coelioxys alayoi Genaro, 2001",NA,NA,NA
"2","Amegilla sjoestedti (Friese, 1909)",NA,NA,NA
"3","Hylaeus taizzi Dathe, 2010",NA,NA,NA
"4","Lasioglossum ultimum (Cockerell, 1929)",NA,NA,NA
"5","Goniocolletes comatus Maynard, 2013",NA,NA,NA
"6","Scrapter nitens Kuhlmann, 2020",NA,NA,NA
"7","Andrena punctiventris Morawitz, 1876",NA,NA,NA
"8","Halictus transbaikalensis Blüthgen, 1933",NA,NA,NA
"9","Neocorynura hemidiodiae (Ducke, 1906)",NA,NA,NA
"10","Patellapis rutshuruensis Kuhlmann and Pauly, 2010",NA,NA,NA
"11","Doeringiella angulicornis Roig-Alsina, 1989",NA,NA,NA
"12","Coelioxys acanthosara Rocha-Filho, 2015",NA,NA,NA
"13","Ptilonomia laevisoma (Hirashima, 1966)",NA,NA,NA
"14","Sphecodes brasiliensis Schrottky, 1910",NA,NA,NA
"15","Megachile dalmeidai Moure, 1944",NA,NA,NA
"16","Protandrena expallida (Swenk and Cockerell, 1907)",NA,NA,NA
"17","Megachile pamperella Vachal, 1908",NA,NA,NA
"18","Protandrena albertensis (Cockerell, 1937)",NA,NA,NA
"19","Hylaeus leleji Proshchalykin and Dathe, 2016",NA,NA,NA
"20","Lipotriches usambarae Pauly, 2014",NA,NA,NA
"21","Lasioglossum spodiozonium (Vachal, 1895)",NA,NA,NA
"22","Xylocopa fervens Lepeletier, 1841",NA,NA,NA
"23","Colletes moctezumensis Metz, 1910",NA,NA,NA
"24","Centris lyngbyei Jensen-Haarup, 1908",NA,NA,NA
"25","Braunsapis virilipicta (Strand, 1915)",NA,NA,NA
"26","Hylaeus sichuanensis Chen, Xu and Dathe, 2010",NA,NA,NA
"27","Ceratina personata Friese, 1905",NA,NA,NA
"28","Psaenythia diceratops Engel, Guevara, Ospina-Torres and Gonzalez, 2021",NA,NA,NA
"29","Hylaeus femoralis (Schrottky, 1902)",NA,NA,NA
"30","Coelioxys radoszkowskyi Popov, 1946",NA,NA,NA
"31","Ceratina duckei Friese, 1910",NA,NA,NA
"32","Dufourea kerzhneri (Pesenko and Astafurova, 2006)",NA,NA,NA
"33","Lasioglossum sobrinum (Warncke, 1982)",NA,NA,NA
"34","Andrena autumnalis Viereck and Cockerell, 1914",NA,NA,NA
"35","Augochloropsis pentheres (Vachal, 1903)",NA,NA,NA
"36","Doeringiella hebes Roig-Alsina, 1989",NA,NA,NA
"37","Lasioglossum tuckeri (Cockerell, 1937)",NA,NA,NA
"38","Heriades gibbosa (Friese, 1909)",NA,NA,NA
"39","Nomada mideltiaca Schwarz, Smit and Ockermüller, 2019",NA,NA,NA
"40","Ceratina tanoi Shiokawa, 2010",NA,NA,NA
"41","Lasioglossum albostictum (Cockerell, 1946)",NA,NA,NA
"42","Lasioglossum alenicum (Strand, 1912)",NA,NA,NA
"43","Lasioglossum xanthopoides (Friese, 1925)",NA,NA,NA
"44","Rhodanthidium jerusalemicum (Mavromoustakis, 1938)",NA,NA,NA
"45","Heriades hexadenticulata (Gupta, Sharma and Simlote, 1993)",NA,NA,NA
"46","Colletes transitus Kuhlmann and Proshchalykin, 2013",NA,NA,NA
"47","Euglossa adiastola Hinojosa-Díaz, Nemésio and Engel, 2012",NA,NA,NA
"48","Colletes bhutanicus Kuhlmann, 2003",NA,NA,NA
"49","Mellitidia nigrescens (Hirashima, 1967)",NA,NA,NA
"50","Neocorynura marginans (Vachal, 1904)",NA,NA,NA
"51","Dufourea glaboabdominalis_sic (Wu, 1986)",NA,NA,NA
"52","Andrena impuncta Kirby, 1837",NA,NA,NA
"53","Halictus multicarinatus Niu, Wu and Huang, 2004",NA,NA,NA
"54","Colletes askhabadoides Kuhlmann and Proshchalykin, 2013",NA,NA,NA
"55","Heriades erecta Gupta, 1987",NA,NA,NA
"56","Mexalictus anatolii Dumesh, 2013",NA,NA,NA
"57","Anthophora amegilloides Wu, 2000",NA,NA,NA
"58","Hypanthidioides clausi (Urban, 2003)",NA,NA,NA
"59","Hylaeus variolaris Morawitz, 1876",NA,NA,NA
"60","Afroheriades larvata (Friese, 1909)",NA,NA,NA
"61","Ammobates opacus Popov, 1951",NA,NA,NA
"62","Halictus yunnanicus Pesenko and Wu, 1997",NA,NA,NA
"63","Anthophora antennalis Wu, 1988",NA,NA,NA
"64","Coelioxys huarpum Holmberg, 1916",NA,NA,NA
"65","Colletes pesenkoi Kuhlmann and Proshchalykin, 2013",NA,NA,NA
"66","Andrena kryzhanovskii Osytshnjuk, 1993",NA,NA,NA
"67","Euryglossa antennata (Rayment, 1935)",NA,NA,NA
"68","Chelostoma sublamellum Wu, 1993",NA,NA,NA
"69","Lasioglossum ituricus (Cockerell, 1939)",NA,NA,NA
"70","Arhysosage melanotricha Moure, 1999",NA,NA,NA
"71","Andrena kirgisica Osytshnjuk, 1994",NA,NA,NA
"72","Sphecodes anonymus Blüthgen, 1928",NA,NA,NA
"73","Megachile meruensis Friese, 1909",NA,NA,NA
"74","Exomalopsis paraguayensis Schrottky, 1909",NA,NA,NA
"75","Megachile commixta (Pasteels, 1970)",NA,NA,NA
"76","Eucera matalae Tkalců, 2003",NA,NA,NA
"77","Megachile gobabebensis Eardley, 2013",NA,NA,NA
"78","Dufourea chlora Wu, 1990",NA,NA,NA
"79","Epeolus sibiricus Radoszkowski, 1887",NA,NA,NA
"80","Amegilla deltoides (Buysson, 1897)",NA,NA,NA
"81","Nomada pilosa Schwarz and Gusenleitner, 2017",NA,NA,NA
"82","Nomada scheuchli Schwarz and Standfuss, 2007",NA,NA,NA
"83","Melissoptila trifasciata Urban, 1998",NA,NA,NA
"84","Scrapter ulrikae Kuhlmann, 2014",NA,NA,NA
"85","Trigonisca martinezi (Brèthes, 1920)",NA,NA,NA
"86","Ptilothrix concolor Roig-Alsina, 2007",NA,NA,NA
"87","Megachile santaerosae Strand, 1910",NA,NA,NA
"88","Lasioglossum squamosum (Pauly, 1984)",NA,NA,NA
"89","Coelioxys scutellotuberculatus Pasteels, 1968",NA,NA,NA
"90","Augochloropsis danielis Strand, 1910",NA,NA,NA
"91","Ruizantheda aerugineus Coelho, Felizardo and Engel, 2014",NA,NA,NA
"92","Lasioglossum omnipunctatum Ebmer, 2004",NA,NA,NA
"93","Rhathymus vespiformis_homonym (De Geer, 1773)",NA,NA,NA
"94","Leioproctus frontalis Smith, 1853",NA,NA,NA
"95","Tetralonioidella tianmuensis Niu and Zhu, 2017",NA,NA,NA
"96","Lasioglossum ashabadiense (Blüthgen, 1923)",NA,NA,NA
"97","Andrena toelgiana Friese, 1921",NA,NA,NA
"98","Lasioglossum oraniense (Blüthgen, 1930)",NA,NA,NA
"99","Augochlora braziliensis (Vachal, 1911)",NA,NA,NA
"100","Perdita nodosicornis Timberlake, 1968",NA,NA,NA
