"","scientificName","n","doiORurl","publicationYear"
"1","Lasioglossum humboldtense (Michener, 1936)",NA,NA,NA
"2","Andrena anonyma Cameron, 1897",NA,NA,NA
"3","Lasioglossum pinnatum (Vachal, 1910)",NA,NA,NA
"4","Megachile pallorea Vachal, 1903",NA,NA,NA
"5","Andrena vogleri Larkin, 2004",NA,NA,NA
"6","Hylaeus murrumbidgeanus Houston, 1981",NA,NA,NA
"7","Austronomia solomonensis Pauly, 2009",NA,NA,NA
"8","Coelioxys ruficollis Friese, 1922",NA,NA,NA
"9","Augochlora dorsualis (Vachal, 1911)",NA,NA,NA
"10","Andrena lazoiana Osytshnjuk, 1995",NA,NA,NA
"11","Colletes brunneitarsis Noskiewicz, 1958",NA,NA,NA
"12","Chiasmognathus himyarensis Engel, 2009",NA,NA,NA
"13","Halictus dorni Ebmer, 1982",NA,NA,NA
"14","Lasioglossum immigrans Gardner and Gibbs, 2021",NA,NA,NA
"15","Hylaeus williamsi (Bridwell, 1919)",NA,NA,NA
"16","Coelioxys octodenticulatus Friese, 1935",NA,NA,NA
"17","Andrena gussakovskii Lebedev, 1932",NA,NA,NA
"18","Hoplitis flavofasciata (Wu, 1982)",NA,NA,NA
"19","Eulaema napensis M. L. Oliveira, 2006",NA,NA,NA
"20","Andrena stepposa Osytshnjuk, 1977",NA,NA,NA
"21","Megachile parabukamensis (Pasteels, 1965)",NA,NA,NA
"22","Megachile taua Strand, 1911",NA,NA,NA
"23","Ceratina wagneri Friese, 1910",NA,NA,NA
"24","Hypanthidium dentiventre (Friese, 1904)",NA,NA,NA
"25","Nomada bisetosa Swenk, 1913",NA,NA,NA
"26","Andrena rubricorpora Wood, 2021",NA,NA,NA
"27","Anthidium_sensu_lato desidiosum Bingham, 1898",NA,NA,NA
"28","Megalopta mapinguari Santos and Melo, 2014",NA,NA,NA
"29","Bombus taiwanensis Williams, Sung, Lin and Lu, 2022",NA,NA,NA
"30","Xeromelissa minuta (Toro and Moldenke, 1979)",NA,NA,NA
"31","Ceratina canaliculata Roig-Alsina, 2016",NA,NA,NA
"32","Scrapter fynbosensis Kuhlmann, 2020",NA,NA,NA
"33","Halictillus peninsularis González-Vaquero, 2010",NA,NA,NA
"34","Paratrigona uwa Gonzalez and Vélez, 2007",NA,NA,NA
"35","Hylaeus ibex Morawitz, 1877",NA,NA,NA
"36","Coelioxys tucumanus Holmberg, 1903",NA,NA,NA
"37","Augochloropsis quadripectinata Strand, 1910",NA,NA,NA
"38","Neocorynura meloi Gonçalves, 2019",NA,NA,NA
"39","Megachile atroalbida Pasteels, 1965",NA,NA,NA
"40","Gronoceras sosia (Pasteels, 1970)",NA,NA,NA
"41","Lasioglossum lustricolle (Moure and Hurd, 1987)",NA,NA,NA
"42","Coelioxys bonplandianus Holmberg, 1918",NA,NA,NA
"43","Osiris longiceps Friese, 1930",NA,NA,NA
"44","Andrena densissima Wood, 2021",NA,NA,NA
"45","Ceratina silvicola Shiokawa, 2008",NA,NA,NA
"46","Psaenythia jujuyensis Holmberg, 1921",NA,NA,NA
