"","scientificName","n","doiORurl","publicationYear"
"47","Augochlora leptis (Vachal, 1911)",NA,NA,NA
"48","Dufourea fortunata Ebmer, 1993",NA,NA,NA
"49","Patellapis patricia (Strand, 1911)",NA,NA,NA
"50","Lasioglossum modestum (Benoist, 1944)",NA,NA,NA
"51","Coelioxys leopoldensis Friese, 1922",NA,NA,NA
"52","Osmia spinicoxa Müller, 2020",NA,NA,NA
"53","Anthophora nachitaiensis Huang, Zhu and Wu, 2008",NA,NA,NA
"54","Andrena latigena Wu, 1982",NA,NA,NA
"55","Hoplitis albopilosa Wu, 1987",NA,NA,NA
"56","Nomioides longiceps Blüthgen, 1933",NA,NA,NA
"57","Lithurgus xishuangensis Wu, 2006",NA,NA,NA
"58","Centris mexicanoides Vivallo, 2020",NA,NA,NA
"59","Megachile goegabensis Eardley, 2013",NA,NA,NA
"60","Palaeorhiza falcifera Hirashima and Lieftinck, 1983",NA,NA,NA
"61","Patellapis hirsuta (Pauly, 1984)",NA,NA,NA
"62","Hoplitis xinjiangensis Wu, 1987",NA,NA,NA
"63","Hylaeus wuae Chen and Xu, 2013",NA,NA,NA
"64","Megachile limata Vachal, 1908",NA,NA,NA
"65","Halictus albozonatus Dours, 1872",NA,NA,NA
"66","Nomioides caspicus Blüthgen, 1934",NA,NA,NA
"67","Patellapis intricata (Vachal, 1895)",NA,NA,NA
"68","Ceratina pusilla Roig-Alsina, 2016",NA,NA,NA
"69","Megachile jakesi Tkalců, 1988",NA,NA,NA
"70","Dufourea calcarata (Morawitz, 1887)",NA,NA,NA
"71","Melissoptila cacerensis Urban, 1998",NA,NA,NA
"72","Hoplitis latifemoralis (Wu, 1985)",NA,NA,NA
"73","Coelioxys columbicus Friese, 1922",NA,NA,NA
"74","Andrena dolini Osytshnjuk, 1979",NA,NA,NA
"75","Lasioglossum laevinode (Morawitz, 1876)",NA,NA,NA
"76","Halictus icarus Ebmer, 1978",NA,NA,NA
"77","Colletes dinizi Kuhlmann, Ortiz-Sánchez and Ornosa, 2001",NA,NA,NA
"78","Centris nigricans Vivallo, 2022",NA,NA,NA
"79","Nubenomia luridipes (Benoist, 1964)",NA,NA,NA
"80","Eucera lanata Sitdikov, 1988",NA,NA,NA
"81","Lasioglossum mesoviride Ebmer, 1974",NA,NA,NA
"82","Augochlora thaliana Strand, 1910",NA,NA,NA
"83","Habralictus mapiriensis (Schrottky, 1910)",NA,NA,NA
"84","Megachile dolosa Alfken, 1936",NA,NA,NA
"85","Anthodioctes shilcayensis Urban, 2004",NA,NA,NA
"86","Anthidium semicirculare Pasteels, 1985",NA,NA,NA
"87","Augochloropsis cockerelli Schrottky, 1909",NA,NA,NA
"88","Andrena talina Xu and Tadauchi, 2002",NA,NA,NA
"89","Acamptopoeum nigritarse (Vachal, 1909)",NA,NA,NA
"90","Eucera atriceps Morawitz, 1877",NA,NA,NA
"91","Melectoides desiccata Packer and Graham, 2020",NA,NA,NA
"92","Centris comonoxa Vivallo, 2020",NA,NA,NA
"93","Hylaeus sinaiticus (Alfken, 1938)",NA,NA,NA
"94","Braunsapis albolineata (Cockerell, 1934)",NA,NA,NA
"95","Rhophitulus aeneiventris (Friese, 1908)",NA,NA,NA
"96","Dufourea kashmirensis (Warncke, 1979)",NA,NA,NA
"97","Anthidium meloi Gonzalez and Griswold, 2013",NA,NA,NA
"98","Sarocolletes pallida Moure and Urban, 1995",NA,NA,NA
"99","Xeromelissa sororitatis Henríquez-Piskulich, Villagra and Vera, 2020",NA,NA,NA
"100","Rediviva transkeiana Whitehead and Steiner, 2008",NA,NA,NA
