"Africa","Antarctica","Asia","Europe","North America","Oceania","Seven seas (open ocean)","South America"
1,0,1,10,0,0,0,0
4,0,0,0,326,0,0,0
69,0,0,0,20,0,0,0
2,0,36,11,0,0,0,0
1,0,0,0,277,0,0,0
218,0,0,0,1143,0,0,0
5,0,0,0,0,0,0,0
3,0,2,0,0,0,0,0
11,0,0,0,7713,0,0,0
63,0,0,0,1397,0,0,0
6,0,0,0,510,0,0,0
7,0,1,0,0,0,0,0
1,0,0,0,547,0,0,0
4,0,0,44,0,0,0,0
84,0,168,29327,9,0,0,0
2,0,28,3618,8,3,0,0
2,0,0,5,0,0,0,0
13,0,0,0,1986,0,0,0
232,0,0,0,906,0,0,0
128,0,0,0,1188,0,0,0
2,0,0,0,0,0,0,0
9,0,0,2,0,0,0,0
19,0,11,90,0,0,0,0
3,0,0,0,484,0,0,0
1,0,0,0,21,0,0,0
7,0,0,0,283,0,0,0
15,0,0,0,1058,0,0,0
1,0,1,0,0,0,0,0
219,0,0,0,259,0,0,0
2,0,3,67,0,0,0,0
32,0,0,0,1859,0,0,0
202,0,0,0,2033,0,0,0
1,0,0,0,0,0,0,0
4,0,0,0,1816,0,0,0
25,0,0,0,3270,0,0,0
1,0,0,11,0,0,0,0
1,0,8,0,0,0,0,0
1,0,0,0,0,0,0,0
1,0,1,12,0,0,0,0
1,0,0,0,58,0,0,0
27,0,0,1,0,0,0,0
1,0,0,636,0,0,0,0
1,0,0,94,0,0,0,0
4,0,0,0,251,0,0,0
4,0,4,27,2,0,0,0
1,0,0,3,0,0,0,0
1,0,0,0,0,0,0,0
1,0,0,8,0,0,0,0
4,0,74,166,0,0,0,0
7,0,0,28,0,0,0,0
5,0,1,32,0,0,0,0
11,0,0,0,1435,0,0,0
9,0,0,0,545,0,0,0
2,0,0,0,0,0,0,0
12,0,0,0,890,0,0,0
4,0,21,1,0,0,0,0
4,0,0,0,0,0,0,0
15,0,0,0,988,0,0,0
52,0,0,0,430,0,0,0
7,0,92,0,0,0,0,0
18,0,0,0,731,0,0,0
2,0,0,0,39,0,0,0
15,0,0,0,681,0,0,0
2,0,1,16,0,0,0,0
118,0,0,0,2297,0,0,0
3,0,15,6,0,0,0,0
82,0,0,0,446,0,0,0
202,0,0,0,5828,0,0,0
9,0,7,243,0,0,0,0
2,0,0,328,89,0,0,2
243,0,0,0,5472,0,0,0
1,0,0,0,58,0,0,0
9,0,0,0,807,0,0,0
41,0,9,12346,3,39,0,0
26,0,0,0,1878,0,0,0
7,0,0,217,18,0,0,0
1,0,0,3,0,0,0,0
62,0,0,0,1198,0,0,0
54,0,0,0,0,0,0,0
44,0,0,0,1496,0,0,0
16,0,1,1,0,0,0,0
1,0,0,0,0,0,0,0
15,0,0,93,0,0,0,0
30,0,0,5737,12,0,0,0
14,0,0,0,1059,0,0,0
1,0,12,7,0,0,0,0
1,0,0,1,0,0,0,0
2,0,0,0,19,0,0,0
50,0,0,0,103,0,0,0
10,0,0,0,56,0,0,0
1,0,0,0,0,0,0,0
1,0,11,1009,0,6,0,0
1,0,0,0,491,0,0,0
3,0,0,0,0,0,0,0
3,0,0,0,272,0,0,0
1,0,0,0,96,0,0,0
4,0,4,774,0,1,0,0
3,0,15,2,0,0,0,0
1,0,0,0,1079,0,0,0
120,0,0,0,3756,0,0,0
14,0,0,0,0,0,0,0
4,0,0,0,420,0,0,0
23,0,0,14,51,0,0,0
5,0,0,0,277,0,0,0
1,0,0,1,0,0,0,0
11,0,0,30,0,0,0,0
38,0,0,0,611,0,0,0
2,0,0,0,46,0,0,0
1,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
56,0,0,0,588,0,0,0
100,0,0,0,1180,0,0,0
2,0,2,1290,0,37,0,0
4,0,0,0,389,0,0,0
68,0,0,0,830,0,0,0
15,0,0,0,387,0,0,0
4,0,0,21,0,0,0,0
8,0,13,71,8,9,0,0
14,0,0,0,700,0,0,0
4,0,0,101,0,0,0,0
26,0,0,0,452,0,0,0
3,0,0,0,492,0,0,0
9,0,7,1,0,0,0,0
4,0,0,0,90,0,0,0
3,0,0,0,350,0,0,0
10,0,0,0,570,0,0,0
10,0,1,20,0,0,0,0
6,0,2,84,0,0,0,2
26,0,0,0,334,0,0,0
13,0,0,0,656,0,0,0
5,0,0,0,77,0,0,0
15,0,0,86,12,0,0,12
19,0,0,0,879,0,0,0
2,0,136,1255,0,0,4,0
3,0,1,2,0,0,0,0
11,0,0,0,280,0,0,0
51,0,0,0,557,0,0,0
16,0,0,0,104,0,0,0
19,0,0,0,652,0,0,0
22,0,0,5,0,0,0,0
3,0,1,6,0,0,0,0
4,0,1,48,0,0,0,0
5,0,18,98,0,0,0,0
9,0,0,123,0,0,0,0
11,0,12,27,0,0,0,0
324,0,0,0,3875,0,0,0
5,0,0,0,265,0,0,0
1,0,0,0,310,0,0,0
25,0,0,0,1550,0,0,0
2,0,0,0,55,0,0,0
25,0,0,0,284,0,0,0
10,0,2,6666,2354,0,0,8
1,0,0,0,154,0,0,0
32,0,0,0,5,0,0,0
6,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
9,0,0,0,1460,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
1,0,0,0,1014,0,0,0
8,0,0,0,0,0,0,0
2,0,34,3539,0,0,0,0
4,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,2,0,0,0,0,0
2,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,12,1,0,0,0,0
26,0,99,140,0,0,0,0
22,0,0,0,74,0,0,0
28,0,0,0,0,0,0,0
16,0,1,0,0,0,0,0
12,0,17,0,0,0,0,0
2,0,663,1716,164,0,0,0
1,0,0,0,57,0,0,0
1,0,0,0,531,0,0,0
401,0,15,19378,6264,641,0,644
8,0,1,0,0,0,0,0
6,0,0,0,654,0,0,0
15,0,0,0,0,0,0,0
75,0,3,3244,2719,0,0,0
17,0,0,0,0,0,0,0
9,0,23,0,0,0,0,0
1,0,0,0,0,0,0,0
3,0,15,6010,0,0,0,0
1,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
18,0,21,17,0,0,0,0
71,0,0,0,381,0,0,0
8,0,2,0,0,0,0,0
10,0,0,0,620,0,0,0
35,0,0,0,0,0,0,0
5,0,0,0,1180,0,0,0
6,0,93,0,0,0,0,0
2,0,4,46,0,0,0,0
13,0,0,0,0,0,0,0
1,0,1,8,0,0,0,0
3,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
38,0,3,0,0,0,0,0
3,0,8,47,0,0,0,0
18,0,2,73,0,0,0,0
8,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0
2,0,5,0,0,0,0,0
71,0,0,0,2925,0,0,0
52,0,0,0,0,0,0,0
3,0,0,61,0,0,0,0
1,0,5,8,0,0,0,0
1,0,1,0,0,0,0,0
7,0,14,145,0,0,0,0
97,0,0,0,0,0,0,0
1,0,0,0,521,0,0,0
9,0,0,0,0,0,0,0
1,0,0,27,0,0,0,0
2,0,0,0,0,0,0,0
2,0,10,38,0,0,0,0
1,0,0,0,0,0,0,0
19,0,1,0,0,0,0,0
2,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0
24,0,24,0,0,0,0,0
3,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
3,0,0,0,483,0,0,0
24,0,0,0,0,0,0,0
7,0,0,0,985,0,0,0
18,0,0,0,0,0,0,0
13,0,0,0,674,0,0,0
1,0,192,28717,0,0,0,0
1,0,0,0,621,0,0,0
186,0,0,0,0,0,0,0
2,0,16,0,0,0,0,0
1,0,0,0,0,0,0,0
11,0,14,0,0,0,0,0
2,0,21,24,0,0,0,0
20,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0
11,0,2,0,0,0,0,0
2,0,2,0,0,0,0,0
1,0,5,6,0,0,0,0
4,0,10,0,0,0,0,0
1,0,0,0,0,0,0,0
94,0,13,2,4113,0,0,0
1,0,0,0,0,0,0,0
6,0,13,0,0,0,0,0
26,0,0,0,10820,0,0,0
13,0,0,0,739,0,0,0
1,0,0,2,0,0,0,0
427,0,83,0,0,0,0,0
3,0,7,0,0,0,0,0
55,0,0,0,0,0,0,0
3,0,1,0,0,0,0,0
