"scientificName","n","dataFrom"
"Eoanthidium salemense (Cockerell, 1919)",31,"points"
"Eoanthidium semicarinatum Pasteels, 1972",19,"points"
"Eoanthidium turnericum (Mavromoustakis, 1934)",54,"points"
"Epanthidium anisitsi (Schrottky, 1908)",22,"points"
"Epanthidium aureocinctum Urban, 1995",9,"points"
"Epanthidium autumnale (Schrottky, 1909)",35,"points"
"Epanthidium bertonii (Schrottky, 1905)",61,"points"
"Epanthidium bicoloratum (Smith, 1879)",465,"points"
"Epanthidium boharti Stange, 1983",8,"points"
"Epanthidium bolivianum Urban, 1995",6,"points"
"Epanthidium confusum (Smith, 1879)",81,"points"
"Epanthidium cuneiforme Griswold and Gonzalez, 2015",9,"points"
"Epanthidium danunciae Griswold and Gonzalez, 2015",2,"points"
"Epanthidium desantisi Urban, 1995",57,"points"
"Epanthidium erythrocephalum (Schrottky, 1902)",140,"points"
"Epanthidium flavoclypeatum Urban, 2006",3,"points"
"Epanthidium joergenseni (Friese, 1908)",32,"points"
"Epanthidium maculatum Urban, 1995",263,"points"
"Epanthidium nectarinioides (Schrottky, 1902)",33,"points"
"Epanthidium nigrescens (Friese, 1906)",90,"points"
"Epanthidium nigrifacies Griswold and Gonzalez, 2015",7,"points"
"Epanthidium paraguayense (Schrottky, 1908)",51,"points"
"Epanthidium sanguineum (Friese, 1908)",64,"points"
"Epanthidium tigrinum (Schrottky, 1905)",933,"points"
"Epanthidium trichura (Moure and Urban, 1991)",5,"points"
"Epanthidium trilobatus Urban, 1995",67,"points"
"Epanthidium tuberculatum Urban, 1995",33,"points"
"Epeoloides coecutiens (Fabricius, 1775)",1888,"points"
"Epeoloides pilosulus (Cresson, 1878)",114,"points"
"Epeolus ainsliei Crawford, 1932",38,"points"
"Epeolus alatus Friese, 1922",2,"points"
"Epeolus alpinus Friese, 1893",1110,"points"
"Epeolus amabilis Gerstäcker, 1869",248,"points"
"Epeolus americanus (Cresson, 1878)",134,"points"
"Epeolus andriyi Onuferko, 2018",2,"points"
"Epeolus asperatus Cockerell, 1910",10,"points"
"Epeolus asperrima (Moure, 1954)",1,"points"
"Epeolus assamensis Meade-Waldo, 1913",1,"points"
"Epeolus attenboroughi Onuferko, 2018",10,"points"
"Epeolus aureovestitus Dours, 1873",2,"points"
"Epeolus australis Mitchell, 1962",32,"points"
"Epeolus autumnalis Robertson, 1902",185,"points"
"Epeolus axillaris Onuferko, 2018",6,"points"
"Epeolus banksi (Cockerell, 1907)",8,"points"
"Epeolus barberiellus Cockerell, 1907",6,"points"
"Epeolus basili Onuferko, 2018",61,"points"
"Epeolus bifasciatus Cresson, 1864",628,"points"
"Epeolus bischoffi (Mavromoustakis, 1954)",7,"points"
"Epeolus boliviensis Friese, 1908",13,"points"
"Epeolus brumleyi Onuferko, 2018",15,"points"
"Epeolus caffer (Lepeletier, 1841)",70,"points"
"Epeolus canadensis Mitchell, 1962",135,"points"
"Epeolus carioca (Moure, 1954)",1,"points"
"Epeolus carolinus Mitchell, 1962",10,"points"
"Epeolus cestus Eardley, 1991",18,"points"
"Epeolus chamaesarachae Onuferko, 2018",13,"points"
"Epeolus claripennis Friese, 1908",3,"points"
"Epeolus compactus Cresson, 1878",452,"points"
"Epeolus compar Alfken, 1938",3,"points"
"Epeolus coreanus Yasumatsu, 1933",3,"points"
"Epeolus cruciger (Panzer, 1799)",3090,"points"
"Epeolus deyrupi Onuferko, 2018",10,"points"
"Epeolus diadematus Onuferko, 2018",3,"points"
"Epeolus erigeronis Mitchell, 1962",25,"points"
"Epeolus fallax Morawitz, 1872",104,"points"
"Epeolus fasciatus Friese, 1895",4,"points"
"Epeolus ferrarii Onuferko, 2018",44,"points"
"Epeolus fervidus Smith, 1879",1,"points"
"Epeolus flavociliatus Friese, 1899",23,"points"
"Epeolus flavofasciatus Smith, 1879",26,"points"
"Epeolus floridensis Mitchell, 1962",11,"points"
"Epeolus friesei Brauns, 1903",16,"points"
"Epeolus fulviventris Bischoff, 1923",5,"points"
"Epeolus fulvopilosus Cameron, 1902",2,"points"
"Epeolus fumipennis Say, 1837",3,"points"
"Epeolus gibbsi Onuferko, 2018",1,"points"
"Epeolus glabratus Cresson, 1878",154,"points"
"Epeolus hanusiae Onuferko, 2019",2,"points"
"Epeolus howardi Mitchell, 1962",9,"points"
"Epeolus ibericus Bogusch and Hadrava, 2018",3,"points"
"Epeolus ilicis Mitchell, 1962",34,"points"
"Epeolus inornatus Onuferko, 2018",17,"points"
"Epeolus intermedius Pérez, 1884",13,"points"
"Epeolus interruptus Robertson, 1900",103,"points"
"Epeolus japonicus Bischoff, 1930",23,"points"
"Epeolus kristenseni Friese, 1915",1,"points"
"Epeolus laevifrons Bischoff, 1930",2,"points"
"Epeolus laticauda Bischoff, 1930",2,"points"
"Epeolus lectoides Robertson, 1901",258,"points"
"Epeolus lectus Cresson, 1878",9,"points"
"Epeolus luteipennis Friese, 1917",7,"points"
"Epeolus melectiformis Yasumatsu, 1938",32,"points"
"Epeolus mesillae (Cockerell, 1895)",613,"points"
"Epeolus minimus (Robertson, 1902)",514,"points"
"Epeolus natalensis Smith, 1879",67,"points"
"Epeolus nebulosus Onuferko, 2018",1,"points"
"Epeolus niger (Michener, 1954)",6,"points"
"Epeolus nomadiformis Onuferko, 2019",2,"points"
"Epeolus novomexicanus Cockerell, 1912",13,"points"
"Epeolus obscuripes Cockerell, 1917",8,"points"
"Epeolus odyneroides Onuferko, 2019",1,"points"
"Epeolus olympiellus Cockerell, 1904",87,"points"
"Epeolus packeri Onuferko, 2018",5,"points"
"Epeolus peregrinus Cockerell, 1911",2,"points"
"Epeolus priesneri Bogusch, 2021",2,"points"
"Epeolus productulus Bischoff, 1930",12,"points"
"Epeolus pubescens Cockerell, 1937",2,"points"
"Epeolus pulchellus Cresson, 1865",3,"points"
"Epeolus pusillus Cresson, 1864",518,"points"
"Epeolus pygmaeorum Cockerell, 1932",21,"points"
"Epeolus rufothoracicus Bischoff, 1923",6,"points"
"Epeolus rufulus Cockerell, 1941",5,"points"
"Epeolus schummelii Schilling, 1849",23,"points"
"Epeolus scutellaris Say, 1824",675,"points"
"Epeolus siculus Giordani Soika, 1944",1,"points"
"Epeolus sigillatus Alfken, 1930",2,"points"
"Epeolus splendidus Onuferko, 2018",20,"points"
"Epeolus subrufescens Saunders, 1908",19,"points"
"Epeolus tarsalis Morawitz, 1874",158,"points"
"Epeolus tessieris Onuferko, 2018",8,"points"
"Epeolus tibetanus Meade-Waldo, 1913",2,"points"
"Epeolus transitorius Eversmann, 1852",235,"points"
"Epeolus tsushimensis Cockerell, 1926",1,"points"
"Epeolus variegatus (Linnaeus, 1758)",2299,"points"
"Epeolus variolosus (Holmberg, 1886)",24,"points"
"Epeolus zonatus Smith, 1854",79,"points"
"Epicharis affinis Smith, 1874",59,"points"
"Epicharis albifacies Friese, 1899",3,"points"
"Epicharis albofasciata Smith, 1874",113,"points"
"Epicharis analis Lepeletier, 1841",79,"points"
"Epicharis angulosa Snelling, 1984",20,"points"
"Epicharis baccharis (Friese, 1901)",63,"points"
"Epicharis bicolor Smith, 1854",109,"points"
"Epicharis bova Snelling, 1984",8,"points"
"Epicharis conica Smith, 1874",30,"points"
"Epicharis dejeanii Lepeletier, 1841",233,"points"
"Epicharis duckei (Friese, 1901)",9,"points"
"Epicharis elegans Smith, 1861",582,"points"
"Epicharis fasciata Lepeletier and Audinet-Serville, 1828",12,"points"
"Epicharis flava (Friese, 1901)",149,"points"
"Epicharis iheringii Friese, 1899",13,"points"
"Epicharis lindigii Friese, 1899",2,"points"
"Epicharis lunulata Mocsáry, 1898",145,"points"
"Epicharis luteocincta Moure and Seabra, 1959",3,"points"
"Epicharis maculata Smith, 1874",238,"points"
"Epicharis metatarsalis Friese, 1899",52,"points"
"Epicharis minima (Friese, 1904)",5,"points"
"Epicharis monozona Mocsáry, 1898",15,"points"
"Epicharis morio Friese, 1924",6,"points"
"Epicharis nigrita (Friese, 1901)",18,"points"
"Epicharis obscura Friese, 1899",4,"points"
"Epicharis picta (Smith, 1874)",3,"points"
"Epicharis pygialis (Friese, 1901)",4,"points"
"Epicharis rustica (Olivier, 1789)",255,"points"
"Epicharis umbraculata (Fabricius, 1804)",76,"points"
"Epicharis xanthogastra Moure and Seabra, 1959",14,"points"
"Epicharis zonata Smith, 1854",80,"points"
"Epiclopus ecphorus Vivallo, 2014",13,"points"
"Epiclopus gayi Spinola, 1851",216,"points"
"Epiclopus lendlianus (Friese, 1910)",35,"points"
"Epiclopus wagenknechti (Ruiz, 1938)",53,"points"
"Eremaphanta convolvuli Popov, 1940",3,"points"
"Eremaphanta dispar (Morawitz, 1891)",12,"points"
"Eremaphanta fasciata Popov, 1957",3,"points"
"Eremaphanta iranica Schwammberger, 1971",2,"points"
"Eremaphanta vitellina (Morawitz, 1875)",1,"points"
"Eremapis parvula Ogloblin, 1956",945,"points"
"Ericrocis lata (Cresson, 1878)",934,"points"
"Ericrocis pintada Snelling and Zavortink, 1984",146,"points"
"Euaspis abdominalis (Fabricius, 1793)",216,"points"
"Euaspis aequicarinata Pasteels, 1980",5,"points"
"Euaspis basalis (Ritsema, 1874)",300,"points"
"Euaspis carbonaria (Smith, 1854)",94,"points"
"Euaspis diversicarinata Pasteels, 1980",3,"points"
"Euaspis edentata Baker, 1995",19,"points"
"Euaspis erythros (Meunier, 1890)",79,"points"
"Euaspis lorenzae Baker, 1995",1,"points"
"Euaspis polynesia Vachal, 1903",153,"points"
"Euaspis strandi Meyer, 1922",6,"points"
"Euaspis trilobata Pasteels, 1980",5,"points"
"Euaspis wegneri Baker, 1995",2,"points"
"Eucera acerba (Cresson, 1879)",92,"points"
"Eucera actuosa (Cresson, 1878)",2643,"points"
"Eucera aeolopus Pérez, 1911",11,"points"
"Eucera aequata Vachal, 1907",13,"points"
"Eucera albescens (Timberlake, 1969)",217,"points"
"Eucera alborufa (Radoszkowski, 1871)",28,"points"
"Eucera alfkeni Risch, 2003",4,"points"
"Eucera algeriensis Dalla Torre, 1896",3,"points"
"Eucera algira Brullé, 1840",25,"points"
"Eucera alopex Risch, 1999",1,"points"
"Eucera alternans (Brullé, 1832)",17,"points"
"Eucera amsinckiae (Timberlake, 1969)",118,"points"
"Eucera andreui (Dusmet y Alonso, 1926)",6,"points"
"Eucera angustifrons (Timberlake, 1969)",129,"points"
"Eucera aragalli (Cockerell, 1904)",58,"points"
"Eucera argyrophila (Cockerell, 1909)",13,"points"
"Eucera arizonica (Cockerell, 1937)",9,"points"
"Eucera armeniaca (Morawitz, 1877)",8,"points"
"Eucera atrata Klug, 1845",1,"points"
"Eucera atricornis Fabricius, 1793",7,"points"
"Eucera atriventris (Smith, 1854)",259,"points"
"Eucera atroalba (Pérez, 1895)",3,"points"
"Eucera baal (Engel, 2006)",2,"points"
"Eucera bakeri (Timberlake, 1973)",1,"points"
"Eucera barbiventris Pérez, 1902",7,"points"
"Eucera belfragei (Cresson, 1872)",183,"points"
"Eucera bequaerti Alfken, 1914",1,"points"
"Eucera bidentata Pérez, 1887",21,"points"
"Eucera birkmanniella (Cockerell, 1906)",3,"points"
"Eucera boyadjiani Vachal, 1907",2,"points"
"Eucera brevitarsis Risch, 1997",2,"points"
"Eucera caerulescens Friese, 1899",61,"points"
"Eucera californica (Cresson, 1878)",24,"points"
"Eucera caspica Morawitz, 1874",54,"points"
"Eucera cassandra Nurse, 1904",12,"points"
"Eucera cercidis (Timberlake, 1969)",1,"points"
"Eucera chinensis (Smith, 1854)",10,"points"
"Eucera chrysobotryae (Cockerell, 1908)",27,"points"
"Eucera chrysophila (Cockerell, 1914)",5,"points"
"Eucera chrysopyga Pérez, 1879",130,"points"
"Eucera cineraria Eversmann, 1852",30,"points"
"Eucera clypeata Erichson, 1835",124,"points"
"Eucera codinai Dusmet y Alonso, 1926",8,"points"
"Eucera collaris Dours, 1873",34,"points"
"Eucera conditi (Timberlake, 1969)",1,"points"
"Eucera conformis (Timberlake, 1969)",47,"points"
"Eucera cordleyi (Viereck, 1905)",276,"points"
"Eucera cressa (Tkalců, 1984)",2,"points"
"Eucera cuniculina Klug, 1845",7,"points"
"Eucera curvitarsis Mocsáry, 1879",15,"points"
"Eucera cypria Alfken, 1933",20,"points"
"Eucera dalmatica Lepeletier, 1841",116,"points"
"Eucera decipiens Alfken, 1935",19,"points"
"Eucera decolorata Gribodo, 1924",8,"points"
"Eucera delphinii (Timberlake, 1969)",58,"points"
"Eucera diana Nurse, 1904",1,"points"
"Eucera digitata Friese, 1895",2,"points"
"Eucera dimidiata Brullé, 1832",50,"points"
"Eucera discoidalis Morawitz, 1877",2,"points"
"Eucera distinguenda (Morawitz, 1875)",13,"points"
"Eucera dorsata (Timberlake, 1969)",89,"points"
"Eucera douglasiana (Cockerell, 1906)",23,"points"
"Eucera dubitata (Cresson, 1878)",105,"points"
"Eucera ebmeri Risch, 1999",2,"points"
"Eucera edwardsii (Cresson, 1878)",1566,"points"
"Eucera elongatula Vachal, 1907",31,"points"
"Eucera eucnemidea Dours, 1873",23,"points"
"Eucera excisa Mocsáry, 1879",4,"points"
"Eucera fasciata Risch, 1999",1,"points"
"Eucera ferruginea Lepeletier, 1841",8,"points"
"Eucera flavicornis Risch, 2003",2,"points"
"Eucera floralia (Smith, 1854)",18,"points"
"Eucera frater (Cresson, 1878)",1363,"points"
"Eucera fulvitarsis (Cresson, 1878)",958,"points"
"Eucera fulvohirta (Cresson, 1878)",47,"points"
"Eucera furfurea Vachal, 1907",25,"points"
"Eucera gaullei Vachal, 1907",20,"points"
"Eucera genovefae Vachal, 1907",4,"points"
"Eucera gracilipes Pérez, 1895",262,"points"
"Eucera grandis (Fonscolombe, 1846)",31,"points"
"Eucera hamata (Bradley, 1942)",2440,"points"
"Eucera helvola Klug, 1845",23,"points"
"Eucera hermoni Risch, 2003",3,"points"
"Eucera hirsuta Morawitz, 1875",2,"points"
"Eucera hirsutissima (Cockerell, 1916)",1,"points"
"Eucera hispaliensis Pérez, 1902",16,"points"
"Eucera hispana Lepeletier, 1841",23,"points"
"Eucera hungarica Friese, 1895",82,"points"
"Eucera hurdi (Timberlake, 1969)",35,"points"
"Eucera ignota (Timberlake, 1969)",1,"points"
"Eucera illinoensis (Robertson, 1902)",5,"points"
"Eucera interrupta Baer, 1850",388,"points"
"Eucera jacoti (Cockerell, 1930)",5,"points"
"Eucera kilikiae Risch, 1999",5,"points"
"Eucera kullenbergi Tkalců, 1984",34,"points"
"Eucera kyrenaica Friese, 1924",1,"points"
"Eucera lanuginosa Klug, 1845",17,"points"
"Eucera latipes Risch, 1997",1,"points"
"Eucera laxiscopa Alfken, 1935",22,"points"
"Eucera lepida (Cresson, 1878)",115,"points"
"Eucera longicornis (Linnaeus, 1758)",8373,"points"
"Eucera lucasi (Gribodo, 1894)",5,"points"
"Eucera lunata (Timberlake, 1969)",138,"points"
"Eucera lutziana (Cockerell, 1933)",120,"points"
"Eucera lycii (Cockerell, 1897)",266,"points"
"Eucera maroccana (Dusmet y Alonso, 1928)",15,"points"
"Eucera mastrucata (Morawitz, 1875)",12,"points"
"Eucera mauritaniae Tkalců, 1984",2,"points"
"Eucera mediterranea Friese, 1895",3,"points"
"Eucera melanocephala Morawitz, 1875",9,"points"
"Eucera metallescens (Morawitz, 1888)",1,"points"
"Eucera microsoma Cockerell, 1922",5,"points"
"Eucera mohavensis (Timberlake, 1969)",305,"points"
"Eucera monozona (Timberlake, 1969)",1,"points"
"Eucera monstruosa Risch, 1999",1,"points"
"Eucera monticola Risch, 2003",4,"points"
"Eucera moricei Alfken, 1935",9,"points"
"Eucera morio Friese, 1922",6,"points"
"Eucera nadigi (Friese, 1924)",2,"points"
"Eucera nigrescens Pérez, 1879",3746,"points"
"Eucera nigrifacies Lepeletier, 1841",82,"points"
"Eucera nigrilabris Lepeletier, 1841",136,"points"
"Eucera nigripes Klug, 1845",3,"points"
"Eucera nigrita Friese, 1895",7,"points"
"Eucera nigriventris (Alfken, 1931)",1,"points"
"Eucera nipponensis (Pérez, 1905)",2540,"points"
"Eucera notata Lepeletier, 1841",40,"points"
"Eucera numida Lepeletier, 1841",37,"points"
"Eucera obliterata Pérez, 1895",3,"points"
"Eucera obsoleta Pérez, 1911",7,"points"
"Eucera occidentalis Risch, 1999",1,"points"
"Eucera okinawae (Friese, 1910)",51,"points"
"Eucera oraniensis Lepeletier, 1841",61,"points"
"Eucera oreophila Risch, 2003",2,"points"
"Eucera pagosana (Cockerell, 1925)",2,"points"
"Eucera palaestinae Friese, 1922",1,"points"
"Eucera pallidihirta (Timberlake, 1969)",4,"points"
"Eucera pannonica Mocsáry, 1878",11,"points"
"Eucera paraclypeata Sitdikov, 1988",1,"points"
"Eucera parnassia Pérez, 1902",5,"points"
"Eucera parvicornis Mocsáry, 1878",27,"points"
"Eucera pekingensis Yasumatsu, 1946",10,"points"
"Eucera penicillata Risch, 1997",3,"points"
"Eucera phaceliae (Cockerell, 1911)",174,"points"
"Eucera pici Vachal, 1907",3,"points"
"Eucera pitalomasa (Dover, 1925)",3,"points"
"Eucera plumigera Kohl, 1905",12,"points"
"Eucera polita Pérez, 1895",23,"points"
"Eucera pollinaris (Kirby, 1802)",6,"points"
"Eucera polychroma (Cockerell, 1930)",1,"points"
"Eucera pomona Nurse, 1904",7,"points"
"Eucera primiveris (Timberlake, 1969)",346,"points"
"Eucera proxima Morawitz, 1875",96,"points"
"Eucera pseudeucnemidea Risch, 1997",5,"points"
"Eucera punctatissima Pérez, 1895",12,"points"
"Eucera puncticollis Morawitz, 1876",3,"points"
"Eucera pythagoras Risch, 2003",1,"points"
"Eucera quadricincta (Timberlake, 1969)",147,"points"
"Eucera quilisi_homonym (Dusmet y Alonso, 1926)",3,"points"
"Eucera rosae (Robertson, 1900)",322,"points"
"Eucera rufipes Smith, 1879",1,"points"
"Eucera seminuda Brullé, 1832",44,"points"
"Eucera serraticornis Risch, 1999",2,"points"
"Eucera sociabilis Smith, 1873",119,"points"
"Eucera sogdiana Morawitz, 1875",12,"points"
"Eucera spatulata Gribodo, 1894",9,"points"
"Eucera speciosa (Cresson, 1878)",498,"points"
"Eucera spectabilis (Morawitz, 1875)",21,"points"
"Eucera speculifera Pérez, 1911",4,"points"
"Eucera spinipes Risch, 2003",3,"points"
"Eucera spurcatipes Pérez, 1905",636,"points"
"Eucera squamosa Lepeletier, 1841",12,"points"
"Eucera stretchii (Cresson, 1878)",58,"points"
"Eucera suavis (Cresson, 1878)",1,"points"
"Eucera sulamita Vachal, 1907",25,"points"
"Eucera syriaca Dalla Torre, 1896",21,"points"
"Eucera taihokuensis (Strand, 1913)",13,"points"
"Eucera taurica Morawitz, 1870",65,"points"
"Eucera tegularis Morawitz, 1875",4,"points"
"Eucera territella (Cockerell, 1905)",396,"points"
"Eucera texana (Timberlake, 1969)",1,"points"
"Eucera tibialis Morawitz, 1875",2,"points"
"Eucera transitoria (Morawitz, 1875)",3,"points"
"Eucera tricincta Erichson, 1835",61,"points"
"Eucera tricinctella (Timberlake, 1969)",434,"points"
"Eucera troglodytes Risch, 2003",1,"points"
"Eucera truttae (Cockerell, 1905)",8,"points"
"Eucera turcomannica (Morawitz, 1880)",2,"points"
"Eucera vachali Pérez, 1895",5,"points"
"Eucera velutina (Morawitz, 1874)",17,"points"
"Eucera vernalis (Morawitz, 1875)",121,"points"
"Eucera vidua Lepeletier, 1841",9,"points"
"Eucera virgata (Cockerell, 1905)",121,"points"
"Eucera vittulata Noskiewicz, 1936",27,"points"
"Eucera vulpes Brullé, 1832",49,"points"
"Eucera warnckei Risch, 1999",3,"points"
"Eucera zeta Dalla Torre, 1896",66,"points"
"Eucera zonata (Timberlake, 1969)",4,"points"
"Eucera_sensu_lato ampla Walker, 1871",1,"points"
"Eucera_sensu_lato fulviventris (Smith, 1854)",1,"points"
"Eucerinoda gayi (Spinola, 1851)",6,"points"
"Eucondylops konowi Brauns, 1902",7,"points"
"Eucondylops reducta Michener, 1970",68,"points"
"Eudioxys quadrispinosus (Friese, 1899)",1,"points"
"Eufriesea aeneiventris (Mocsáry, 1896)",2,"points"
"Eufriesea anisochlora (Kimsey, 1977)",637,"points"
"Eufriesea atlantica Nemésio, 2008)",4,"points"
"Eufriesea auriceps (Friese, 1899)",25,"points"
"Eufriesea auripes (Gribodo, 1882)",55,"points"
"Eufriesea bare González and Gaiani, 1989",87,"points"
"Eufriesea barthelli Gonzalez and Griswold, 2017",4,"points"
"Eufriesea buchwaldi (Friese, 1923)",1,"points"
"Eufriesea caerulescens (Lepeletier, 1841)",127,"points"
"Eufriesea chalybaea (Friese, 1923)",262,"points"
"Eufriesea chrysopyga (Mocsáry, 1898)",102,"points"
"Eufriesea combinata (Mocsáry, 1897)",2,"points"
"Eufriesea concava (Friese, 1899)",358,"points"
"Eufriesea corusca (Kimsey, 1977)",9,"points"
"Eufriesea distinguenda (Gribodo, 1882)",3,"points"
"Eufriesea dressleri (Kimsey, 1977)",5,"points"
"Eufriesea duckei (Friese, 1923)",28,"points"
"Eufriesea eburneocincta (Kimsey, 1977)",9,"points"
"Eufriesea elegans (Lepeletier, 1841)",45,"points"
"Eufriesea engeli Gonzalez and Griswold, 2017",9,"points"
"Eufriesea excellens (Friese, 1925)",2,"points"
"Eufriesea fallax (Smith, 1854)",6,"points"
"Eufriesea flaviventris (Friese, 1899)",28,"points"
"Eufriesea formosa (Mocsáry, 1908)",9,"points"
"Eufriesea fragrocara (Kimsey, 1977)",3,"points"
"Eufriesea fuscatra (Moure, 1999)",1,"points"
"Eufriesea laniventris (Ducke, 1902)",23,"points"
"Eufriesea limbata (Mocsáry, 1897)",12,"points"
"Eufriesea lucida (Kimsey, 1977)",4,"points"
"Eufriesea lucifera Kimsey, 1977",48,"points"
"Eufriesea macroglossa (Moure, 1965)",437,"points"
"Eufriesea magrettii (Friese, 1899)",35,"points"
"Eufriesea mariana (Mocsáry, 1896)",229,"points"
"Eufriesea mexicana (Mocsáry, 1897)",376,"points"
"Eufriesea micheneri Ayala and Engel, 2008",22,"points"
"Eufriesea mussitans (Fabricius, 1787)",1142,"points"
"Eufriesea nigrescens (Friese, 1923)",5,"points"
"Eufriesea nigrohirta (Friese, 1899)",6,"points"
"Eufriesea nordestina Moure, 1999",19,"points"
"Eufriesea oliveri Gonzalez and Griswold, 2017",6,"points"
"Eufriesea ornata (Mocsáry, 1896)",85,"points"
"Eufriesea pallida (Kimsey, 1977)",46,"points"
"Eufriesea pretiosa (Friese, 1903)",1,"points"
"Eufriesea pulchra (Smith, 1854)",583,"points"
"Eufriesea purpurata (Mocsáry, 1896)",298,"points"
"Eufriesea rufocauda (Kimsey, 1977)",101,"points"
"Eufriesea rugosa (Friese, 1899)",93,"points"
"Eufriesea schmidtiana (Friese, 1925)",252,"points"
"Eufriesea simillima (Moure and Michener, 1965)",20,"points"
"Eufriesea smaragdina (Perty, 1833)",13,"points"
"Eufriesea superba (Hoffmannsegg, 1817)",69,"points"
"Eufriesea surinamensis (Linnaeus, 1758)",529,"points"
"Eufriesea theresiae (Mocsáry, 1908)",3,"points"
"Eufriesea velutina (Moure, 1999)",1,"points"
"Eufriesea venezolana (Schrottky, 1913)",9,"points"
"Eufriesea venusta (Moure, 1965)",13,"points"
"Eufriesea vidua (Moure, 1976)",54,"points"
"Eufriesea violacea (Blanchard, 1840)",624,"points"
"Eufriesea violascens (Mocsáry, 1898)",31,"points"
"Euglossa alleni Moure, 1968",8,"points"
"Euglossa allosticta Moure, 1969",911,"points"
"Euglossa amazonica Dressler, 1982",348,"points"
"Euglossa analis Westwood, 1840",146,"points"
"Euglossa annectans Dressler, 1982",144,"points"
"Euglossa apiformis Schrottky, 1911",2,"points"
"Euglossa asarophora Moure and Sakagami, 1969",356,"points"
"Euglossa ashei Hinojosa-Díaz and Engel, 2014",1,"points"
"Euglossa atroveneta Dressler, 1978",494,"points"
"Euglossa augaspis Dressler, 1982",841,"points"
"Euglossa aureiventris Friese, 1899",17,"points"
"Euglossa auricollis Friese, 1923",4,"points"
"Euglossa azurea Ducke, 1902",5,"points"
"Euglossa bazinga Nemésio and Ferrari, 2012",3,"points"
"Euglossa bidentata Dressler, 1982",219,"points"
"Euglossa bursigera Moure, 1970",558,"points"
"Euglossa carolina Nemésio, 2009",61,"points"
"Euglossa celiae Hinojosa-Díaz and Engel, 2014",1,"points"
"Euglossa cetera Hinojosa-Díaz and Engel, 2014",1,"points"
"Euglossa chalybeata Friese, 1925",1336,"points"
"Euglossa championi Cheesman, 1929",1054,"points"
"Euglossa chlorina Dressler, 1982",88,"points"
"Euglossa clausi Nemésio and Engel, 2012",6,"points"
"Euglossa cognata Moure, 1970",945,"points"
"Euglossa cordata (Linnaeus, 1758)",4275,"points"
"Euglossa cosmodora Hinojosa-Díaz and Engel, 2007",3,"points"
"Euglossa crassipunctata Moure, 1968",742,"points"
"Euglossa crininota Dressler, 1978",267,"points"
"Euglossa cupella Hinojosa-Díaz and Engel, 2014",1,"points"
"Euglossa cyanaspis Moure, 1968",60,"points"
"Euglossa cyanea Friese, 1899",30,"points"
"Euglossa cyanochlora Moure, 1995",2,"points"
"Euglossa cyanura Cockerell, 1917",150,"points"
"Euglossa cybelia Moure, 1968",290,"points"
"Euglossa deceptrix Moure, 1968",266,"points"
"Euglossa decorata Smith, 1874",70,"points"
"Euglossa despecta Moure, 1968",278,"points"
"Euglossa dilemma Bembé and Eltz, 2011",1080,"points"
"Euglossa dissimula Dressler, 1978",71,"points"
"Euglossa dodsoni Moure, 1965",1563,"points"
"Euglossa dressleri Moure, 1968",107,"points"
"Euglossa embera Hinojosa-Díaz, Nemésio and Engel, 2012",4,"points"
"Euglossa erythrochlora Moure, 1968",152,"points"
"Euglossa fimbriata Moure, 1968",143,"points"
"Euglossa flammea Moure, 1969",380,"points"
"Euglossa fuscifrons Dressler, 1982",15,"points"
"Euglossa gibbosa Dressler, 1982",8,"points"
"Euglossa gorgonensis Cheesman, 1929",527,"points"
"Euglossa granti Cheesman, 1929",4,"points"
"Euglossa hansoni Moure, 1965",548,"points"
"Euglossa hemichlora Cockerell, 1917",537,"points"
"Euglossa heterosticta Moure, 1968",723,"points"
"Euglossa hyacinthina Dressler, 1982",26,"points"
"Euglossa ignita Smith, 1874",4528,"points"
"Euglossa igniventris Friese, 1925",83,"points"
"Euglossa imperialis Cockerell, 1922",7044,"points"
"Euglossa inflata Roubik, 2004",17,"points"
"Euglossa intersecta Latreille, 1817",446,"points"
"Euglossa iopoecila Dressler, 1982",202,"points"
"Euglossa ioprosopa Dressler, 1982",76,"points"
"Euglossa iopyrrha Dressler, 1982",160,"points"
"Euglossa jamaicensis Moure, 1968",57,"points"
"Euglossa juremae Moure, 1989",5,"points"
"Euglossa laevicincta Dressler, 1982",112,"points"
"Euglossa laurensi Bembé, 2008",2,"points"
"Euglossa leucotricha Rebêlo and Moure, 1995",12,"points"
"Euglossa liopoda Dressler, 1982",129,"points"
"Euglossa lugubris Roubik, 2004",9,"points"
"Euglossa macrorhyncha Dressler, 1982",864,"points"
"Euglossa maculilabris Moure, 1968",339,"points"
"Euglossa magnipes Dressler, 1982",97,"points"
"Euglossa mandibularis Friese, 1899",83,"points"
"Euglossa marianae Nemésio, 2011",1,"points"
"Euglossa melanotricha Moure, 1967",180,"points"
"Euglossa micans Dressler, 1978",2,"points"
"Euglossa milenae Bembé, 2007",45,"points"
"Euglossa mixta Friese, 1899",1892,"points"
"Euglossa modestior Dressler, 1982",534,"points"
"Euglossa moratoi Nemésio and Engel, 2012",1,"points"
"Euglossa mourei Dressler, 1982",160,"points"
"Euglossa natesi Parra, Ospina-Torres and Ramírez, 2006",4,"points"
"Euglossa nigropilosa Moure, 1965",69,"points"
"Euglossa nigrosignata Moure, 1969",4,"points"
