"n_occ","count"
140,1.9204325994592506
165,0.7856315179606025
108,1.4839706450366936
6,36.22634221707223
163,0.872923908845114
672,0.08729239088451139
54,3.14252607184241
3,75.94438006952491
21,8.903823870220162
5,41.02742371572035
1276,0.17458478176902278
1385,0.17458478176902278
113,1.8331402085747392
2575,0.08729239088451139
1019,0.08729239088451139
9,22.783314020857475
1135,0.08729239088451139
2,128.23252220934722
1,226
4,52.1135573580533
11,16.672846658941676
30,7.8563151796060255
191,0.5237543453070683
119,1.2220934723831596
961,0.17458478176902278
79,1.309385863267671
19,9.864040169949787
59,3.2298184627269215
8,24.791039011201235
130,1.4839706450366936
7,27.409810737736578
210,0.872923908845114
109,1.6585554268057165
168,0.7856315179606025
89,1.571263035921205
477,0.08729239088451139
244,0.436461954422557
77,1.9204325994592506
117,1.6585554268057165
199,0.872923908845114
139,1.4839706450366936
31,4.975666280417149
34,6.28505214368482
23,6.197759752800309
12,16.585554268057166
247,0.6110467361915798
24,8.118192352259559
17,12.220934723831595
37,5.761297798377752
69,2.5314793356508303
25,7.332560834298957
127,1.2220934723831596
10,19.46620316724604
20,8.72923908845114
16,11.435303205870992
62,2.3568945538818076
497,0.26187717265353416
65,3.2298184627269215
211,0.872923908845114
58,3.4044032444959442
101,2.0950173812282733
275,0.26187717265353416
120,1.571263035921205
179,0.6110467361915798
575,0.26187717265353416
1984,0.08729239088451139
383,0.436461954422557
86,1.745847817690228
1046,0.08729239088451139
118,1.4839706450366936
935,0.08729239088451139
144,1.4839706450366936
93,1.6585554268057165
13,15.01429123213596
14,11.697180378524527
126,1.3966782541521823
28,6.372344534569332
35,4.36461954422557
51,3.578988026264967
100,1.571263035921205
321,0.436461954422557
42,4.190034762456547
795,0.26187717265353416
95,1.9204325994592506
43,2.880648899188876
33,6.634221707222866
320,0.26187717265353416
47,3.317110853611433
267,0.26187717265353416
228,0.6110467361915798
39,4.015449980687524
229,0.5237543453070683
98,1.309385863267671
356,0.436461954422557
184,0.872923908845114
330,0.17458478176902278
266,0.6110467361915798
173,0.6110467361915798
81,3.055233680957899
41,5.412128234839706
181,1.134801081498648
27,6.459636925453843
73,2.182309772112785
128,1.309385863267671
61,2.706064117419853
46,3.840865198918501
45,4.1027423715720355
40,3.840865198918501
38,4.801081498648126
135,1.134801081498648
32,6.8088064889918885
185,0.436461954422557
628,0.08729239088451139
15,10.475086906141367
452,0.5237543453070683
44,3.2298184627269215
26,5.67400540749324
154,0.7856315179606025
103,1.2220934723831596
258,0.6110467361915798
613,0.17458478176902278
515,0.34916956353804557
87,2.706064117419853
518,0.17458478176902278
676,0.17458478176902278
110,1.2220934723831596
223,0.436461954422557
22,8.81653147933565
64,2.3568945538818076
508,0.6110467361915798
436,0.26187717265353416
71,3.840865198918501
121,1.3966782541521823
152,0.872923908845114
746,0.34916956353804557
29,6.197759752800309
142,0.872923908845114
1028,0.08729239088451139
305,0.5237543453070683
49,3.840865198918501
53,2.5314793356508303
66,3.14252607184241
145,1.6585554268057165
50,3.491695635380456
36,4.975666280417149
116,1.571263035921205
153,0.9602162997296253
155,0.9602162997296253
97,1.6585554268057165
159,1.2220934723831596
83,2.269602162997296
52,4.015449980687524
63,1.8331402085747392
105,1.745847817690228
