"n_occ_spCou","count"
1,226.00000000000003
22,8.444839857651246
33,3.6192170818505343
2,121.44483985765126
55,2.2117437722419933
298,0.201067615658363
40,2.6809015421115068
3,68.96619217081852
11,12.533214709371293
7,23.927046263345197
13,11.326809015421116
10,14.543890865954925
15,8.981020166073547
9,15.616251482799527
5,31.90272835112693
6,28.015421115065244
37,2.6809015421115068
25,5.428825622775801
24,6.635231316725979
4,44.368920521945434
2659,0.06702253855278767
21,7.171411625148281
81,1.2734282325029658
112,0.804270462633452
8,19.101423487544487
133,0.33511269276393835
653,0.06702253855278767
30,5.76393831553974
1107,0.13404507710557534
149,0.402135231316726
41,3.016014234875445
17,6.702253855278767
32,3.8202846975088973
928,0.201067615658363
684,0.06702253855278767
597,0.33511269276393835
4120,0.06702253855278767
115,0.603202846975089
2791,0.06702253855278767
51,2.613879003558719
26,4.155397390272835
12,14.744958481613287
14,10.120403321470938
288,0.13404507710557534
311,0.13404507710557534
65,1.4744958481613288
99,1.0723606168446027
36,3.016014234875445
101,1.0723606168446027
108,0.804270462633452
185,0.33511269276393835
79,0.7372479240806644
16,6.635231316725979
124,0.6702253855278767
57,1.3404507710557534
226,0.402135231316726
29,3.8202846975088973
153,0.2680901542111507
482,0.13404507710557534
456,0.06702253855278767
382,0.06702253855278767
67,0.804270462633452
75,1.005338078291815
441,0.201067615658363
27,4.959667852906287
91,0.8712930011862396
96,1.5415183867141165
84,0.9383155397390274
94,1.1393831553973903
60,1.5415183867141165
147,0.8712930011862396
45,2.6809015421115068
66,1.0723606168446027
35,3.6862396204033216
80,0.9383155397390274
42,2.412811387900356
496,0.13404507710557534
31,4.4234875444839865
425,0.06702253855278767
23,5.227758007117438
413,0.06702253855278767
48,1.7425860023724793
431,0.06702253855278767
54,1.9436536180308424
68,1.7425860023724793
28,4.088374851720048
59,1.8766310794780547
64,1.2734282325029658
20,10.589561091340451
250,0.2680901542111507
144,0.603202846975089
56,1.8766310794780547
92,0.804270462633452
219,0.201067615658363
18,7.104389086595493
239,0.5361803084223014
88,0.8712930011862396
73,1.206405693950178
19,7.171411625148281
38,2.3457888493475685
39,2.814946619217082
83,1.2734282325029658
139,0.402135231316726
218,0.402135231316726
43,2.814946619217082
261,0.06702253855278767
130,0.6702253855278767
137,0.7372479240806644
85,1.206405693950178
201,0.2680901542111507
946,0.13404507710557534
1190,0.06702253855278767
146,0.7372479240806644
717,0.13404507710557534
290,0.201067615658363
339,0.06702253855278767
447,0.2680901542111507
148,0.402135231316726
100,0.804270462633452
225,0.2680901542111507
522,0.06702253855278767
729,0.06702253855278767
422,0.2680901542111507
236,0.201067615658363
326,0.06702253855278767
62,1.206405693950178
169,0.2680901542111507
157,0.402135231316726
268,0.33511269276393835
82,1.005338078291815
387,0.13404507710557534
164,0.402135231316726
973,0.06702253855278767
171,0.5361803084223014
2565,0.06702253855278767
342,0.2680901542111507
76,0.7372479240806644
125,0.5361803084223014
674,0.06702253855278767
524,0.13404507710557534
72,1.608540925266904
166,0.5361803084223014
232,0.33511269276393835
284,0.201067615658363
181,0.402135231316726
129,0.7372479240806644
12724,0.06702253855278767
44,2.2117437722419933
362,0.06702253855278767
611,0.06702253855278767
102,1.1393831553973903
103,0.7372479240806644
3984,0.06702253855278767
1136,0.06702253855278767
155,0.402135231316726
104,0.9383155397390274
223,0.5361803084223014
34,2.9489916963226577
188,0.201067615658363
365,0.06702253855278767
52,1.8766310794780547
114,0.8712930011862396
192,0.33511269276393835
143,0.402135231316726
380,0.06702253855278767
190,0.402135231316726
113,0.402135231316726
676,0.06702253855278767
595,0.13404507710557534
154,0.5361803084223014
329,0.13404507710557534
1785,0.06702253855278767
47,1.3404507710557534
2632,0.06702253855278767
63,1.2734282325029658
1193,0.06702253855278767
118,0.603202846975089
258,0.201067615658363
460,0.06702253855278767
281,0.2680901542111507
193,0.33511269276393835
86,1.005338078291815
227,0.402135231316726
195,0.2680901542111507
116,0.5361803084223014
111,0.4691577698695137
1349,0.06702253855278767
267,0.201067615658363
46,2.7479240806642946
58,1.608540925266904
230,0.201067615658363
126,0.6702253855278767
175,0.33511269276393835
159,0.33511269276393835
523,0.13404507710557534
97,0.8712930011862396
874,0.06702253855278767
662,0.06702253855278767
186,0.402135231316726
74,1.005338078291815
615,0.06702253855278767
1492,0.13404507710557534
69,0.9383155397390274
213,0.2680901542111507
208,0.2680901542111507
772,0.13404507710557534
2059,0.06702253855278767
173,0.33511269276393835
669,0.06702253855278767
440,0.201067615658363
287,0.13404507710557534
172,0.2680901542111507
254,0.2680901542111507
156,0.33511269276393835
1186,0.06702253855278767
174,0.5361803084223014
70,0.9383155397390274
233,0.13404507710557534
275,0.33511269276393835
121,0.33511269276393835
78,1.4744958481613288
1293,0.06702253855278767
3172,0.06702253855278767
49,2.2787663107947806
50,1.4744958481613288
2338,0.06702253855278767
206,0.33511269276393835
106,0.804270462633452
241,0.402135231316726
244,0.13404507710557534
53,1.407473309608541
308,0.06702253855278767
269,0.201067615658363
631,0.201067615658363
366,0.06702253855278767
176,0.33511269276393835
199,0.33511269276393835
847,0.06702253855278767
198,0.2680901542111507
138,0.603202846975089
134,0.33511269276393835
670,0.13404507710557534
229,0.2680901542111507
263,0.402135231316726
110,0.402135231316726
191,0.402135231316726
205,0.2680901542111507
722,0.06702253855278767
491,0.13404507710557534
344,0.201067615658363
1093,0.06702253855278767
390,0.2680901542111507
562,0.13404507710557534
158,0.402135231316726
2434,0.06702253855278767
200,0.33511269276393835
1111,0.06702253855278767
587,0.06702253855278767
123,0.5361803084223014
89,0.8712930011862396
468,0.06702253855278767
207,0.33511269276393835
117,0.603202846975089
167,0.2680901542111507
93,0.804270462633452
381,0.13404507710557534
255,0.13404507710557534
327,0.13404507710557534
1387,0.06702253855278767
163,0.13404507710557534
730,0.06702253855278767
872,0.06702253855278767
283,0.06702253855278767
5842,0.06702253855278767
3073,0.13404507710557534
357,0.13404507710557534
1148,0.06702253855278767
331,0.33511269276393835
533,0.13404507710557534
272,0.402135231316726
61,1.608540925266904
197,0.402135231316726
304,0.201067615658363
552,0.13404507710557534
770,0.06702253855278767
1052,0.06702253855278767
340,0.06702253855278767
400,0.13404507710557534
490,0.06702253855278767
107,0.33511269276393835
122,0.6702253855278767
71,1.206405693950178
454,0.06702253855278767
136,0.13404507710557534
105,0.5361803084223014
179,0.402135231316726
119,0.4691577698695137
925,0.06702253855278767
150,0.33511269276393835
177,0.201067615658363
590,0.13404507710557534
95,0.9383155397390274
237,0.06702253855278767
270,0.13404507710557534
251,0.13404507710557534
685,0.06702253855278767
196,0.33511269276393835
247,0.201067615658363
356,0.13404507710557534
479,0.06702253855278767
187,0.33511269276393835
162,0.402135231316726
982,0.06702253855278767
222,0.13404507710557534
315,0.402135231316726
132,0.603202846975089
286,0.4691577698695137
210,0.201067615658363
608,0.2680901542111507
292,0.2680901542111507
7383,0.06702253855278767
1157,0.06702253855278767
2653,0.06702253855278767
33427,0.06702253855278767
776,0.06702253855278767
486,0.13404507710557534
355,0.201067615658363
450,0.06702253855278767
235,0.201067615658363
161,0.13404507710557534
605,0.06702253855278767
426,0.13404507710557534
231,0.13404507710557534
408,0.06702253855278767
2583,0.06702253855278767
5870,0.06702253855278767
319,0.2680901542111507
607,0.13404507710557534
128,0.402135231316726
180,0.201067615658363
242,0.201067615658363
87,0.402135231316726
2177,0.06702253855278767
2831,0.06702253855278767
1287,0.06702253855278767
779,0.06702253855278767
1499,0.06702253855278767
574,0.06702253855278767
394,0.201067615658363
618,0.06702253855278767
985,0.13404507710557534
881,0.06702253855278767
1865,0.06702253855278767
430,0.06702253855278767
333,0.201067615658363
5335,0.06702253855278767
3440,0.06702253855278767
724,0.06702253855278767
488,0.06702253855278767
1133,0.06702253855278767
1848,0.06702253855278767
738,0.13404507710557534
3580,0.06702253855278767
1794,0.06702253855278767
939,0.06702253855278767
894,0.06702253855278767
826,0.06702253855278767
876,0.06702253855278767
2440,0.06702253855278767
885,0.06702253855278767
473,0.201067615658363
1479,0.06702253855278767
2279,0.06702253855278767
1619,0.06702253855278767
1624,0.06702253855278767
4291,0.06702253855278767
578,0.201067615658363
768,0.06702253855278767
2415,0.06702253855278767
568,0.13404507710557534
540,0.06702253855278767
710,0.06702253855278767
596,0.06702253855278767
4815,0.06702253855278767
160,0.33511269276393835
127,0.4691577698695137
2996,0.06702253855278767
8267,0.06702253855278767
3606,0.06702253855278767
32246,0.06702253855278767
1099,0.06702253855278767
1486,0.06702253855278767
7796,0.06702253855278767
245,0.2680901542111507
1316,0.06702253855278767
2577,0.06702253855278767
799,0.06702253855278767
21809,0.06702253855278767
512,0.06702253855278767
23858,0.06702253855278767
1636,0.06702253855278767
2739,0.06702253855278767
564,0.06702253855278767
4276,0.06702253855278767
1673,0.06702253855278767
2127,0.06702253855278767
2640,0.06702253855278767
360,0.06702253855278767
2961,0.06702253855278767
215,0.13404507710557534
1521,0.06702253855278767
152,0.402135231316726
2284,0.06702253855278767
1672,0.06702253855278767
661,0.13404507710557534
1862,0.13404507710557534
2610,0.06702253855278767
1343,0.06702253855278767
784,0.06702253855278767
3176,0.06702253855278767
15635,0.06702253855278767
1086,0.06702253855278767
2217,0.06702253855278767
6585,0.06702253855278767
1433,0.06702253855278767
2176,0.06702253855278767
142,0.33511269276393835
5664,0.06702253855278767
470,0.06702253855278767
780,0.06702253855278767
2226,0.06702253855278767
972,0.06702253855278767
77,0.5361803084223014
2027,0.06702253855278767
1379,0.06702253855278767
796,0.06702253855278767
2546,0.06702253855278767
4380,0.06702253855278767
464,0.06702253855278767
202,0.201067615658363
183,0.201067615658363
375,0.201067615658363
2354,0.06702253855278767
630,0.06702253855278767
10776,0.06702253855278767
336,0.06702253855278767
140,0.33511269276393835
733,0.201067615658363
6282,0.06702253855278767
3806,0.06702253855278767
5855,0.06702253855278767
4452,0.06702253855278767
7182,0.06702253855278767
5024,0.06702253855278767
353,0.13404507710557534
204,0.4691577698695137
90,0.7372479240806644
1311,0.06702253855278767
6203,0.06702253855278767
1096,0.06702253855278767
3412,0.06702253855278767
10008,0.06702253855278767
556,0.13404507710557534
1034,0.06702253855278767
214,0.201067615658363
303,0.201067615658363
243,0.402135231316726
526,0.13404507710557534
131,0.402135231316726
