"scientificName","dataFrom","continent","n"
"Rophites algirus Pérez, 1895","litEstimate","Africa",5
"Schmiedeknechtia oraniensis Friese, 1896","litEstimate","Africa",3
"Sphecodes atlanticus Warncke, 1992","litEstimate","Africa",56
"Sphecodes crassanus Warncke, 1992","litEstimate","Africa",2
"Sphecodes dusmeti Blüthgen, 1925","litEstimate","Africa",5
"Sphecodes hirtellus Blüthgen, 1923","litEstimate","Africa",1
"Sphecodes majalis Pérez, 1903","litEstimate","Africa",1
"Sphecodes marginatus von Hagens, 1882","litEstimate","Africa",1
"Sphecodes puncticeps Thomson, 1870","litEstimate","Africa",173
"Sphecodes rufiventris (Panzer, 1798)","litEstimate","Africa",12
"Sphecodes spinulosus von Hagens, 1875","litEstimate","Africa",3
"Stelis aegyptiaca (Radoszkowski, 1876)","litEstimate","Africa",2
"Stelis annulata (Lepeletier, 1841)","litEstimate","Africa",2
"Stelis breviuscula (Nylander, 1848)","litEstimate","Africa",25
"Stelis laverna Baker, 1999","litEstimate","Africa",8
"Stelis maroccana Warncke, 1992","litEstimate","Africa",4
"Stelis minuta Lepeletier and Audinet-Serville, 1828","litEstimate","Africa",5
"Stelis nasuta (Latreille, 1809)","litEstimate","Africa",1
"Stelis ornatula (Klug, 1808)","litEstimate","Africa",3
"Stelis punctulatissima (Kirby, 1802)","litEstimate","Africa",17
"Stelis signata (Latreille, 1809)","litEstimate","Africa",1
"Stelis simillima Morawitz, 1876","litEstimate","Africa",1
"Systropha pici Pérez, 1895","litEstimate","Africa",12
"Tetralonia_sensu_lato coangustata Dours, 1873","litEstimate","Africa",63
"Tetraloniella battandieri (Alfken, 1914)","litEstimate","Africa",8
"Tetraloniella cinctella (Saunders, 1908)","litEstimate","Africa",54
"Tetraloniella fulvescens (Giraud, 1863)","litEstimate","Africa",8
"Tetraloniella holli (Alfken, 1914)","litEstimate","Africa",17
"Tetraloniella nigroplagiata (Alfken, 1914)","litEstimate","Africa",19
"Tetraloniella ruficornis (Fabricius, 1804)","litEstimate","Africa",1
"Thyreus affinis (Morawitz, 1874)","litEstimate","Africa",2
"Thyreus histrionicus (Illiger, 1806)","litEstimate","Africa",6
"Thyreus mauretaniensis (Strand, 1911)","litEstimate","Africa",333
"Thyreus tricuspis (Pérez, 1884)","litEstimate","Africa",1
"Thyreus truncatus (Pérez, 1884)","litEstimate","Africa",1
"Trachusa laeviventris (Dours, 1873)","litEstimate","Africa",1
"Trachusa laticeps (Morawitz, 1874)","litEstimate","Africa",5
"Trachusa varia (Olivier, 1789)","litEstimate","Africa",22
"Xylocopa amedaei Lepeletier, 1841","litEstimate","Africa",1
"Ceylalictus congoensis Pesenko and Pauly, 2005","litEstimate","Africa",148
"Hylaeus xanthostoma (Alfken, 1914)","litEstimate","Africa",1
"Lasioglossum hypoleucum (Cockerell, 1937)","litEstimate","Africa",1
"Lipotriches clypeomonstrosa Pauly, 2014","litEstimate","Africa",4
"Lipotriches pseudoclavata Pauly, 2014","litEstimate","Africa",1
"Lipotriches spinulifera (Cockerell, 1933)","litEstimate","Africa",2
"Megachile eupyrrha Cockerell, 1937","litEstimate","Africa",1
"Spatunomia filifera (Cockerell, 1933)","litEstimate","Africa",5
"Ceratina spinipes Shiokawa, 2009","litEstimate","Africa",12
"Eucera sociabilis Smith, 1873","litEstimate","Africa",3
"Lasioglossum okinawa Ebmer and Maeta, 1999","litEstimate","Africa",4
"Nomada japonica Smith, 1873","litEstimate","Africa",1
"Xylocopa flavifrons Matsumura, 1912","litEstimate","Africa",2
"Anthophora ferripicta Cockerell, 1935","litEstimate","Africa",5
"Anthophora torridella Meade-Waldo, 1914","litEstimate","Africa",3
"Austronomia bechuanella (Cockerell, 1939)","litEstimate","Africa",8
"Coelioxys langi Cockerell, 1935","litEstimate","Africa",2
"Coelioxys squamosus Friese, 1922","litEstimate","Africa",1
"Halictus vansoni Cockerell, 1935","litEstimate","Africa",148
"Heriades perminuta Cockerell, 1935","litEstimate","Africa",52
"Lasioglossum acuiferum (Cockerell, 1935)","litEstimate","Africa",1
"Lasioglossum natense (Cockerell, 1935)","litEstimate","Africa",1
"Lasioglossum norvali (Cockerell, 1939)","litEstimate","Africa",1
"Lasioglossum palapyense (Cockerell, 1942)","litEstimate","Africa",2
"Lasioglossum perileucum (Cockerell, 1935)","litEstimate","Africa",1
"Lasioglossum transvaalense (Cockerell, 1943)","litEstimate","Africa",6
"Megachile natensiella Cockerell, 1944","litEstimate","Africa",1
"Pseudapis riftensis Pauly, 1990","litEstimate","Africa",1
"Sphecodes levicinctus Cockerell, 1936","litEstimate","Africa",33
"Xylocopa caffra (Linné, 1767)","litEstimate","Africa",11
"Ceratina paulyi (Daly, 1988)","litEstimate","Africa",2
"Eoanthidium afroarabicum Kasparek and Griswold, 2021","litEstimate","Africa",9
"Hylaeus infulatus Snelling, 1985","litEstimate","Africa",1
"Lasioglossum radiatulum (Cockerell, 1937)","litEstimate","Africa",3
"Lipotriches maliensis Pauly, 2014","litEstimate","Africa",2
"Lipotriches pallidicincta (Cockerell, 1932)","litEstimate","Africa",1
"Nomia crocisaeformis Bingham, 1903","litEstimate","Africa",41
"Nomioides micheneri Pesenko and Pauly, 2005","litEstimate","Africa",10
"Nomioides ornatus Pesenko, 1983","litEstimate","Africa",1
"Tetralonia paulyi (Eardley, 1989)","litEstimate","Africa",2
"Andrena anthrisci Blüthgen, 1925","litEstimate","Africa",3
"Andrena apicata Smith, 1847","litEstimate","Africa",3
"Andrena confinis Stoeckhert, 1930","litEstimate","Africa",1
"Andrena congruens Schmiedeknecht, 1884","litEstimate","Africa",1
"Andrena simillima Smith, 1851","litEstimate","Africa",13
"Bombus magnus Vogt, 1911","litEstimate","Africa",3
"Braunsapis gorillarum (Cockerell, 1936)","litEstimate","Africa",7
"Coelioxys cyanura Cockerell, 1933","litEstimate","Africa",3
"Hylaeus burundis Dathe, 2023","litEstimate","Africa",180
"Hylaeus haladanius Dathe, 2015","litEstimate","Africa",403
"Hylaeus tinctulus Cockerell, 1932","litEstimate","Africa",5
"Lasioglossum kasuloi (Cockerell, 1937)","litEstimate","Africa",1
"Lasioglossum latesellatum (Cockerell, 1937)","litEstimate","Africa",36
"Lasioglossum meruense (Friese, 1909)","litEstimate","Africa",1
"Lasioglossum niveostictum (Cockerell, 1937)","litEstimate","Africa",10
"Nomada rostrata Herrich-Schäffer, 1839","litEstimate","Africa",1
"Nubenomia ruwenzorica (Cockerell, 1935)","litEstimate","Africa",2
"Patellapis patriciformis (Cockerell, 1933)","litEstimate","Africa",266
"Patellapis rothschildiana (Vachal, 1909)","litEstimate","Africa",27
"Patellapis virungae Timmermann, 2009","litEstimate","Africa",51
"Thrinchostoma emini Blüthgen, 1930","litEstimate","Africa",3
"Xylocopa gabonica (Gribodo, 1894)","litEstimate","Africa",4
"Xylocopa kamerunensis Vachal, 1899","litEstimate","Africa",5
"Xylocopa subjuncta Vachal, 1898","litEstimate","Africa",29
"Xylocopa wellmani Cockerell, 1906","litEstimate","Africa",3
"Allodape laeviceps Strand, 1912","litEstimate","Africa",12
"Allodape mirabilis Schulz, 1906","litEstimate","Africa",4
"Allodape nula Strand, 1912","litEstimate","Africa",1
"Amegilla advenula (Cockerell, 1930)","litEstimate","Africa",1
"Amegilla centralis (Cockerell, 1930)","litEstimate","Africa",1
"Amegilla ferrocincta (Cockerell, 1936)","litEstimate","Africa",13
"Amegilla katangensis (Cockerell, 1930)","litEstimate","Africa",8
"Amegilla madecassa (Saussure, 1890)","litEstimate","Africa",2
"Bombus humilis Illiger, 1806","litEstimate","Africa",7
"Bombus lucorum (Linnaeus, 1761)","litEstimate","Africa",2
"Bombus pascuorum (Scopoli, 1763)","litEstimate","Africa",3
"Bombus sylvarum (Linnaeus, 1761)","litEstimate","Africa",16
"Braunsapis debilis (Cockerell, 1934)","litEstimate","Africa",1
"Ceratina ludwigsi Strand, 1914","litEstimate","Africa",4
"Coelioxys conicus Linnaeus, 1758","litEstimate","Africa",1
"Coelioxys integer Pasteels, 1968","litEstimate","Africa",8
"Coelioxys subnitens Pasteels, 1977","litEstimate","Africa",4
"Colletes hederae Schmidt and Westrich, 1993","litEstimate","Africa",1
"Ctenoplectra alluaudi Vachal, 1903","litEstimate","Africa",2
"Epeolus variegatus (Linnaeus, 1758)","litEstimate","Africa",114
"Gronoceras africanibium (Strand, 1912)","litEstimate","Africa",24
"Gronoceras mutala (Strand, 1912)","litEstimate","Africa",1
"Halictus togoensis Pauly, 1998","litEstimate","Africa",1
"Heriades victoriae Friese, 1922","litEstimate","Africa",6
"Hylaeus adamanauanis Dathe, 2015","litEstimate","Africa",60
"Hylaeus brevicornis Nylander, 1852","litEstimate","Africa",2
"Hylaeus camerunensis Dathe, 2014","litEstimate","Africa",1
"Hylaeus communis Nylander, 1852","litEstimate","Africa",1
"Hylaeus luctuosus (Benoist, 1944)","litEstimate","Africa",10
"Hylaeus paulyi Dathe, 2014","litEstimate","Africa",1
"Hylaeus pumilus Dathe, 2015","litEstimate","Africa",127
"Hylaeus soukontouai Dathe, 2023","litEstimate","Africa",74
"Lasioglossum hemicyaneum (Benoist, 1944)","litEstimate","Africa",1
"Lasioglossum hintzi (Strand, 1911)","litEstimate","Africa",145
"Lasioglossum jumbo (Strand, 1921)","litEstimate","Africa",1
"Lasioglossum macilentum (Benoist, 1944)","litEstimate","Africa",31
"Lasioglossum modestum (Benoist, 1944)","litEstimate","Africa",3
"Lasioglossum submetallicum (Benoist, 1944)","litEstimate","Africa",1
"Lasioglossum tenuivenis (Cockerell, 1946)","litEstimate","Africa",90
"Lipotriches acanthospermi Pauly, 2014","litEstimate","Africa",7
"Lipotriches azarensis (Cockerell, 1932)","litEstimate","Africa",25
"Lipotriches blandula (Vachal, 1903)","litEstimate","Africa",1
"Lipotriches cassiae Pauly, 2014","litEstimate","Africa",1
"Lipotriches friesei (Magretti, 1899)","litEstimate","Africa",1
"Lipotriches kampalana (Cockerell, 1935)","litEstimate","Africa",1
"Lipotriches kwiapensis Pauly, 2014","litEstimate","Africa",25
"Lipotriches paludis Pauly, 2014","litEstimate","Africa",3
"Lipotriches rossi Pauly, 2014","litEstimate","Africa",28
"Lipotriches saegeri Pauly, 2014","litEstimate","Africa",2
"Lipotriches seydeli Pauly, 2014","litEstimate","Africa",3
"Macronomia rufipes (Smith, 1875)","litEstimate","Africa",2
"Maynenomia adamaouaensis Pauly and Soukontoua, 2016","litEstimate","Africa",17
"Megachile curtuloides Pasteels, 1973","litEstimate","Africa",22
"Megachile duala Strand, 1914","litEstimate","Africa",3
"Megachile hirsutula Pasteels, 1973","litEstimate","Africa",1
"Megachile saba Cockerell, 1914","litEstimate","Africa",244
"Megachile tessmanni Pasteels, 1965","litEstimate","Africa",2
"Megachile vulpinella Pasteels, 1973","litEstimate","Africa",1
"Nomada connectens Pérez, 1884","litEstimate","Africa",9
"Nomada hispanica Dusmet y Alonso, 1913","litEstimate","Africa",2
"Nomia antecedens Cockerell, 1931","litEstimate","Africa",1
"Nomia camerunensis (Pauly, 1990)","litEstimate","Africa",1
"Nomia tchuenguemi (Pauly and Soukontoua, 2016)","litEstimate","Africa",65
"Nomia viridicincta Meade-Waldo, 1916","litEstimate","Africa",9
"Nubenomia makomensis (Strand, 1912)","litEstimate","Africa",113
"Pachyanthidium anoplos Eardley and Griswold, 2017","litEstimate","Africa",3
"Pachyanthidium paulinierii (Guérin-Méneville, 1845","litEstimate","Africa",1
"Pasites atratula Friese, 1922","litEstimate","Africa",2
"Patellapis corallina (Benoist, 1944)","litEstimate","Africa",13
"Patellapis kamerunensis (Friese, 1914)","litEstimate","Africa",13
"Patellapis lepesmei (Benoist, 1944)","litEstimate","Africa",1
"Stictonomia uelleburgensis (Strand, 1912)","litEstimate","Africa",1
"Systropha aethiopica Friese, 1911","litEstimate","Africa",4
"Systropha bispinosa Friese, 1914","litEstimate","Africa",199
"Tetragonula collina (Smith, 1857)","litEstimate","Africa",4
"Tetragonula sapiens (Cockerell, 1911)","litEstimate","Africa",1
"Thrinchostoma bicometes (Enderlein, 1903)","litEstimate","Africa",2
"Thrinchostoma kandti Blüthgen, 1930","litEstimate","Africa",138
"Thrinchostoma nachtigali Blüthgen, 1930","litEstimate","Africa",1
"Thyreus garouensis Engel, 2014","litEstimate","Africa",7
"Trinomia triodonta (Kohl, 1906)","litEstimate","Africa",1
"Xylocopa claripennis Friese, 1922","litEstimate","Africa",2
"Xylocopa codinai Dusmet y Alonso, 1924","litEstimate","Africa",73
"Xylocopa dibongoana Hedicke, 1923","litEstimate","Africa",7
"Xylocopa duala Strand, 1921","litEstimate","Africa",67
"Xylocopa fulva Friese, 1922","litEstimate","Africa",67
"Xylocopa inquirenda Vachal, 1899","litEstimate","Africa",72
"Xylocopa merceti Dusmet y Alonso, 1924","litEstimate","Africa",1
"Xylocopa obscurata Smith, 1854","litEstimate","Africa",16
"Xylocopa praeusta Smith, 1854","litEstimate","Africa",1
"Xylocopa preussi Enderlein, 1903","litEstimate","Africa",6
"Amegilla canifronoides Brooks, 1988","litEstimate","Africa",1
"Amegilla modestoides Brooks, 1988","litEstimate","Africa",2
"Ceylalictus capverdensis Pesenko, Pauly and La Roche, 2002","litEstimate","Africa",6
"Ceylalictus grandior Pesenko, Pauly and La Roche, 2002","litEstimate","Africa",3
"Thyreus aistleitneri Straka and Engel, 2012","litEstimate","Africa",26
"Andrena ampla Warncke, 1967","litEstimate","Africa",207
"Bombus bohemicus (Seidl, 1837)","litEstimate","Africa",2
"Bombus hypnorum (Linnaeus, 1758)","litEstimate","Africa",5
"Bombus mastrucatus Gerstäcker, 1869","litEstimate","Africa",4
"Bombus mesomelas Gerstäcker, 1869","litEstimate","Africa",14
"Bombus rupestris (Fabricius, 1793)","litEstimate","Africa",1
"Bombus soroeensis (Fabricius, 1777)","litEstimate","Africa",6
"Bombus subterraneus (Linnaeus, 1758)","litEstimate","Africa",1
"Bombus sylvestris (Lepeletier, 1832)","litEstimate","Africa",1
"Hylaeus bouyssoui (Vachal, 1900)","litEstimate","Africa",1
"Lasioglossum calceatum (Scopoli, 1763)","litEstimate","Africa",3
"Lasioglossum congoense (Friese, 1921)","litEstimate","Africa",2
"Nomada striata Fabricius, 1793","litEstimate","Africa",1
"Noteriades quinquecostata (Strand, 1912)","litEstimate","Africa",11
"Nubenomia semihirta (Cockerell, 1933)","litEstimate","Africa",3
"Steganomus tessmanni Pauly, 1990","litEstimate","Africa",3
"Stictonomia sangaensis Pauly, 1990","litEstimate","Africa",1
"Andrena baetica Wood, 2020","litEstimate","Africa",31
"Andrena hispania Warncke, 1967","litEstimate","Africa",1
"Anthidium bifidum Pasteels, 1969","litEstimate","Africa",1
"Colletes tibestensis Kuhlmann, 2015","litEstimate","Africa",12
"Dasypoda iberica Warncke, 1973","litEstimate","Africa",214
"Heriades chariensis Benoist, 1931","litEstimate","Africa",44
"Hoplitis cadiza (Warncke, 1991)","litEstimate","Africa",2
"Icteranthidium sinuatum Pasteels, 1969","litEstimate","Africa",7
"Megachile derelictula Cockerell, 1937","litEstimate","Africa",1
"Megachile manguna Strand, 1911","litEstimate","Africa",5
"Nomada cadiza Schwarz and Gusenleitner, 2013","litEstimate","Africa",4
"Nomada kriesteni Schwarz and Gusenleitner, 2013","litEstimate","Africa",16
"Steganomus ennediensis Pauly, 1990","litEstimate","Africa",1
"Xylocopa aurorea Friese, 1921","litEstimate","Africa",295
"Amegilla comorensis Brooks and Pauly, 2001","litEstimate","Africa",9
"Andrena hattorfiana (Fabricius, 1775)","litEstimate","Africa",1
"Lasioglossum comorense Pauly, 2001","litEstimate","Africa",3
"Lasioglossum mahense (Cameron, 1907)","litEstimate","Africa",36
"Macrogalea infernalis Michener, 1977","litEstimate","Africa",4
"Andrena colletiformis Morawitz, 1874","litEstimate","Africa",1
"Andrena langadensis Warncke, 1965","litEstimate","Africa",6
"Anthophora orientalis Morawitz, 1877","litEstimate","Africa",1
"Coelioxys congoensis Friese, 1922","litEstimate","Africa",6
"Eucera parvicornis Mocsáry, 1878","litEstimate","Africa",4
"Eucera proxima Morawitz, 1875","litEstimate","Africa",1
"Eucera seminuda Brullé, 1832","litEstimate","Africa",264
"Eucera vulpes Brullé, 1832","litEstimate","Africa",1
"Habropoda tarsata (Spinola, 1838)","litEstimate","Africa",9
"Halictus quadricinctus (Fabricius, 1777)","litEstimate","Africa",4
"Lasioglossum limbelloides (Blüthgen, 1931)","litEstimate","Africa",93
"Lipotriches gemmea Pauly, 2014","litEstimate","Africa",43
"Megachile acraensis Friese, 1903","litEstimate","Africa",12
"Megachile kelnerae Pasteels, 1978","litEstimate","Africa",1
"Megachile pillaultae Pasteels, 1978","litEstimate","Africa",1
"Nomada corcyraea Schmiedeknecht, 1882","litEstimate","Africa",1
"Nomada nausicaa Schmiedeknecht, 1882","litEstimate","Africa",15
"Osmia hellados van der Zanden, 1984","litEstimate","Africa",99
"Osmia ligurica Morawitz, 1868","litEstimate","Africa",5
"Pseudapis diversipes (Latreille, 1806)","litEstimate","Africa",3
"Sphecodes albociliatus Meyer, 1922","litEstimate","Africa",1
"Thrinchostoma lettowvorbecki Blüthgen, 1930","litEstimate","Africa",7
"Trachusa schoutedeni (Vachal, 1910)","litEstimate","Africa",1
"Xylocopa punctifrons Cockerell, 1917","litEstimate","Africa",5
"Afronomia picardi (Gribodo, 1894)","litEstimate","Africa",1
"Allodape brachycephala Michener, 1971","litEstimate","Africa",5
"Amegilla expleta (Vachal, 1910)","litEstimate","Africa",6
"Amegilla hypocyanea (Cockerell, 1930)","litEstimate","Africa",7
"Amegilla lomamica (Cockerell, 1936)","litEstimate","Africa",1
"Amegilla michaelis (Cockerell, 1930)","litEstimate","Africa",1
"Amegilla salviae (Morawitz, 1876)","litEstimate","Africa",3
"Amegilla subtorrida (Cockerell, 1947)","litEstimate","Africa",1
"Amegilla triangulifera (Cockerell, 1933)","litEstimate","Africa",1
"Amegilla tubifera (Cockerell, 1933)","litEstimate","Africa",9
"Amegilla vanderysti (Cockerell, 1936)","litEstimate","Africa",1
"Andrena curvungula Thomson, 1870","litEstimate","Africa",6
"Andrena fulva (Müller, 1766)","litEstimate","Africa",37
"Andrena orientana Warncke, 1965","litEstimate","Africa",3
"Andrena robusta Warncke, 1975","litEstimate","Africa",2
"Andrena rugulosa Stoeckhert, 1935","litEstimate","Africa",116
"Andrena schencki Morawitz, 1866","litEstimate","Africa",1
"Andrena schlettereri Friese, 1896","litEstimate","Africa",1
"Andrena scita Eversmann, 1852","litEstimate","Africa",2
"Andrena scotica Perkins, 1917","litEstimate","Africa",1
"Andrena seminuda Friese, 1896","litEstimate","Africa",3
"Andrena sphecodimorpha Hedicke, 1942","litEstimate","Africa",40
"Andrena unicincta Friese, 1899","litEstimate","Africa",3
"Anthidiellum troodicum Mavromoustakis, 1949","litEstimate","Africa",3
"Anthidium abjunctum (Cockerell, 1936)","litEstimate","Africa",2
"Anthophora argyrospila Cockerell, 1938","litEstimate","Africa",104
"Anthophora joetta Brooks, 1988","litEstimate","Africa",1
"Anthophora postica Vachal, 1910","litEstimate","Africa",79
"Anthophora vestitula Cockerell, 1936","litEstimate","Africa",77
"Austronomia lucidula (Vachal, 1910)","litEstimate","Africa",7
"Braunsapis albolineata (Cockerell, 1934)","litEstimate","Africa",50
"Braunsapis neavei (Vachal, 1910)","litEstimate","Africa",3
"Braunsapis rugosella (Cockerell, 1936)","litEstimate","Africa",3
"Camptopoeum frontale (Fabricius, 1804)","litEstimate","Africa",3
"Ceratina aereola Vachal, 1903","litEstimate","Africa",29
"Ceratina albopicta Cockerell, 1937","litEstimate","Africa",25
"Ceratina atopura Cockerell, 1937","litEstimate","Africa",32
"Ceratina bispinosa Handlirsch, 1889","litEstimate","Africa",52
"Ceratina chrysomalla Gerstäcker, 1869","litEstimate","Africa",4
"Ceratina congoensis Meunier, 1890","litEstimate","Africa",36
"Ceratina elisabethae Cockerell, 1937","litEstimate","Africa",50
"Ceratina langi Cockerell, 1934","litEstimate","Africa",4
"Ceratina lucifera Cockerell, 1937","litEstimate","Africa",1
"Ceratina nigroaenea Gerstäcker, 1869","litEstimate","Africa",4
"Ceratina nigrolabiata Friese, 1896","litEstimate","Africa",1
"Ceratina nilotica Cockerell, 1937","litEstimate","Africa",8
"Ceratina politifrons Cockerell, 1937","litEstimate","Africa",2
"Ceratina rugosissima Cockerell, 1932","litEstimate","Africa",2
"Ceratina schwarzi Kocourek, 1998","litEstimate","Africa",1
"Ceratina tenkeana Cockerell, 1937","litEstimate","Africa",1
"Ceratina viridifrons Cockerell, 1934","litEstimate","Africa",1
"Ceratina viridis Guérin-Méneville, 1845","litEstimate","Africa",1
"Chelostoma diodon Schletterer, 1889","litEstimate","Africa",1
"Chelostoma forcipatum (Benoist, 1928)","litEstimate","Africa",7
"Chelostoma foveolatum (Morawitz, 1868)","litEstimate","Africa",9
"Coelioxys albomarginatus Friese, 1922","litEstimate","Africa",1
"Coelioxys artemis Schwarz, 2001","litEstimate","Africa",300
"Coelioxys ateneatus Strand, 1921","litEstimate","Africa",2
"Coelioxys elsei Schwarz, 2001","litEstimate","Africa",6
"Coelioxys gracillimus (Pasteels, 1977)","litEstimate","Africa",1
"Coelioxys katangensis Cockerell, 1932","litEstimate","Africa",7
"Colletes brevigena Noskiewicz, 1936","litEstimate","Africa",1
"Colletes caskanus (Strand, 1919)","litEstimate","Africa",4
"Colletes cunicularius (Linnaeus, 1761)","litEstimate","Africa",70
"Colletes gorillarum Cockerell, 1932","litEstimate","Africa",3
"Cyphanthidium sheppardi (Mavromoustakis, 1937)","litEstimate","Africa",1
"Dasypoda aurata Rudow, 1881","litEstimate","Africa",1
"Dasypoda braccata Eversmann, 1852","litEstimate","Africa",33
"Dasypoda pyriformis Radoszkowski, 1887","litEstimate","Africa",177
"Eucera dalmatica Lepeletier, 1841","litEstimate","Africa",42
"Eucera helvola Klug, 1845","litEstimate","Africa",26
"Eucera pseudeucnemidea Risch, 1997","litEstimate","Africa",1
"Eupetersia bequaerti (Meyer, 1926)","litEstimate","Africa",2
"Eupetersia clypeata Benoit, 1950","litEstimate","Africa",1
"Eupetersia macrocephala Pauly, 1981","litEstimate","Africa",7
"Eupetersia mandibulata Benoit, 1950","litEstimate","Africa",16
"Eupetersia neavei Blüthgen, 1928","litEstimate","Africa",1
"Eupetersia robusta Benoit, 1950","litEstimate","Africa",12
"Eupetersia ruficauda Pauly, 1981","litEstimate","Africa",401
"Eupetersia rufipes Pauly, 1981","litEstimate","Africa",2
"Eupetersia similis Benoit, 1950","litEstimate","Africa",3
"Eupetersia violacea Pauly, 1981","litEstimate","Africa",115
"Glossodialictus wittei Pauly, 1984","litEstimate","Africa",16
"Halictus centrosus Vachal, 1910","litEstimate","Africa",1
"Halictus chalybaeus Friese, 1909","litEstimate","Africa",1
"Halictus cochlearitarsis (Dours, 1872)","litEstimate","Africa",1
"Halictus graecus Blüthgen, 1933","litEstimate","Africa",1
"Halictus maculatus Smith, 1848","litEstimate","Africa",1
"Halictus pollinosus Sichel, 1860","litEstimate","Africa",9
"Halictus ponticus Blüthgen, 1934","litEstimate","Africa",12
"Halictus seminiger Cockerell, 1937","litEstimate","Africa",8
"Halictus sexcinctus (Fabricius, 1775)","litEstimate","Africa",2
"Halictus valligenis Cockerell, 1937","litEstimate","Africa",12
"Halictus_sensu_lato haasi Vachal, 1903","litEstimate","Africa",1
"Halictus_sensu_lato kiwuensis Strand, 1911","litEstimate","Africa",1
"Halictus_sensu_lato pilicrus Friese, 1921","litEstimate","Africa",1
"Heriades bequaerti Cockerell, 1931","litEstimate","Africa",4
"Heriades burgeoni Benoist, 1931","litEstimate","Africa",24
"Heriades frontosa Schletterer, 1889","litEstimate","Africa",3
"Heriades hercules Strand, 1911","litEstimate","Africa",31
"Heriades nitescens Cockerell, 1931","litEstimate","Africa",1
"Heriades pachyacantha Cockerell, 1940","litEstimate","Africa",1
"Heriades subfrontosa Cockerell, 1939","litEstimate","Africa",1
"Heriades sulcatifera Cockerell, 1937","litEstimate","Africa",9
"Heriades sulcatula Cockerell, 1931","litEstimate","Africa",1
"Heriadopsis striatula Cockerell, 1931","litEstimate","Africa",2
"Hoplitis grossepunctata (Kohl, 1905)","litEstimate","Africa",108
"Hoplitis illyrica (Noskiewicz, 1926)","litEstimate","Africa",1
"Hoplitis lysholmi (Friese, 1899)","litEstimate","Africa",1
"Hoplitis pallicornis (Friese, 1895)","litEstimate","Africa",134
"Hoplitis papaveris (Latreille, 1799)","litEstimate","Africa",2
"Hoplitis reginae (Cockerell, 1932)","litEstimate","Africa",2
"Hylaeus bifasciatus (Jurine, 1807)","litEstimate","Africa",28
"Hylaeus maculipes (Cockerell, 1936)","litEstimate","Africa",3
"Hylaeus perater Cockerell, 1936","litEstimate","Africa",75
"Hylaeus promontorii Meade-Waldo, 1923","litEstimate","Africa",1
"Lasioglossum albobarbatum (Cockerell, 1937)","litEstimate","Africa",1
"Lasioglossum angustulum (Cockerell, 1937)","litEstimate","Africa",5
"Lasioglossum aruwimiense (Strand, 1911)","litEstimate","Africa",43
"Lasioglossum aureotarse (Friese, 1921)","litEstimate","Africa",205
"Lasioglossum beniense (Cockerell, 1945)","litEstimate","Africa",5
"Lasioglossum bianone (Cockerell, 1945)","litEstimate","Africa",4
"Lasioglossum bicallosum (Morawitz, 1874)","litEstimate","Africa",3
"Lasioglossum boswendiellum (Cockerell, 1946)","litEstimate","Africa",1
"Lasioglossum bredoi (Cockerell, 1939)","litEstimate","Africa",8
"Lasioglossum brevissimum (Cockerell, 1945)","litEstimate","Africa",21
"Lasioglossum coeruleodorsatum (Strand, 1911)","litEstimate","Africa",4
"Lasioglossum crassivenis (Cockerell, 1939)","litEstimate","Africa",413
"Lasioglossum diminutellum (Cockerell, 1937)","litEstimate","Africa",6
"Lasioglossum epichlorops (Cockerell, 1946)","litEstimate","Africa",238
"Lasioglossum epichlorum (Cockerell, 1937)","litEstimate","Africa",1
"Lasioglossum evanidum (Vachal, 1903)","litEstimate","Africa",5
"Lasioglossum exactum (Cockerell, 1937)","litEstimate","Africa",9
"Lasioglossum flavolineatum (Cockerell, 1937)","litEstimate","Africa",1
"Lasioglossum hoedillum (Vachal, 1903)","litEstimate","Africa",63
"Lasioglossum ituricus (Cockerell, 1939)","litEstimate","Africa",5
"Lasioglossum kabaricum (Cockerell, 1945)","litEstimate","Africa",1
"Lasioglossum kafubuense (Cockerell, 1937)","litEstimate","Africa",8
"Lasioglossum lateronitens (Cockerell, 1945)","litEstimate","Africa",2
"Lasioglossum lubumbashicum (Cockerell, 1945)","litEstimate","Africa",1
"Lasioglossum lucidulum (Schenck, 1861)","litEstimate","Africa",1
"Lasioglossum lulengone (Cockerell, 1945)","litEstimate","Africa",3
"Lasioglossum macrurops (Cockerell, 1937)","litEstimate","Africa",1
"Lasioglossum majus (Nylander, 1852)","litEstimate","Africa",6
"Lasioglossum masisiellum (Cockerell, 1946)","litEstimate","Africa",2
"Lasioglossum masisiense (Cockerell, 1945)","litEstimate","Africa",28
"Lasioglossum melissomelos Engel, 2018","litEstimate","Africa",1
"Lasioglossum mesogonus (Cockerell, 1945)","litEstimate","Africa",15
"Lasioglossum mirifrons (Cockerell, 1939)","litEstimate","Africa",15
"Lasioglossum nigritellum (Cockerell, 1937)","litEstimate","Africa",1
"Lasioglossum nigritinum (Cockerell, 1937)","litEstimate","Africa",1
"Lasioglossum nudulum (Vachal, 1903)","litEstimate","Africa",186
"Lasioglossum obscurifrons (Cockerell, 1945)","litEstimate","Africa",5
"Lasioglossum pallens (Brullé, 1832)","litEstimate","Africa",1
"Lasioglossum paraminutum (Friese, 1921)","litEstimate","Africa",7
"Lasioglossum percinctum (Cockerell, 1937)","litEstimate","Africa",11
