"scientificName","dataFrom","continent","n"
"Amegilla medicorum (Cockerell, 1910)","points","Africa",2
"Amegilla mimadvena (Cockerell, 1916)","points","Africa",89
"Amegilla mucorea (Klug, 1845)","points","Africa",20
"Amegilla natalensis (Friese, 1922)","points","Africa",28
"Amegilla nigritarsis (Friese, 1905)","points","Africa",8
"Amegilla nigroclypeata (Friese, 1909)","points","Africa",6
"Amegilla nila Eardley, 1994","points","Africa",1
"Amegilla niveata (Friese, 1905)","points","Africa",775
"Amegilla nubica (Lepeletier, 1841)","points","Africa",159
"Amegilla obscuriceps (Friese, 1905)","points","Africa",116
"Amegilla penicula Eardley, 1994","points","Africa",28
"Amegilla punctifrons (Walker, 1871)","points","Africa",2
"Amegilla quadrifasciata (de Villers, 1789)","points","Africa",28
"Amegilla rapida (Smith, 1879)","points","Africa",15
"Amegilla regalis (Cockerell, 1946)","points","Africa",1
"Amegilla savignyi (Lepeletier, 1841)","points","Africa",19
"Amegilla spilostoma (Cameron, 1905)","points","Africa",470
"Amegilla terminata (Smith, 1879)","points","Africa",22
"Amegilla velutina (Friese, 1909)","points","Africa",274
"Amegilla vivida (Smith, 1879)","points","Africa",3
"Ammobates arsinoe Engel, 2009","points","Africa",1
"Ammobates auster Eardley, 1997","points","Africa",5
"Ammobates muticus Spinola, 1843","points","Africa",40
"Ammobates niveatus (Spinola, 1838)","points","Africa",2
"Ammobates oraniensis (Lepeletier, 1841)","points","Africa",14
"Ammobates rufiventris Latreille, 1809","points","Africa",1
"Ammobates verhoeffi Mavromoustakis, 1959","points","Africa",1
"Ancyla oraniensis Lepeletier, 1841","points","Africa",1
"Andrena abrupta Warncke, 1967","points","Africa",6
"Andrena aculeata LaBerge, 1980","points","Africa",1
"Andrena aegyptiaca Friese, 1899","points","Africa",6
"Andrena aerinifrons Dours, 1873","points","Africa",11
"Andrena africana Friese, 1909","points","Africa",5
"Andrena agilissima (Scopoli, 1770)","points","Africa",16
"Andrena albifacies Alfken, 1926","points","Africa",2
"Andrena albopunctata (Rossi, 1792)","points","Africa",15
"Andrena algida Smith, 1853","points","Africa",18
"Andrena alleghaniensis Viereck, 1907","points","Africa",7
"Andrena alluaudi Benoist, 1961","points","Africa",9
"Andrena amphibola (Viereck, 1904)","points","Africa",12
"Andrena andrenoides (Cresson, 1878)","points","Africa",2
"Andrena angustella Cockerell, 1936","points","Africa",2
"Andrena angustitarsata Viereck, 1904","points","Africa",29
"Andrena antigana Pérez, 1895","points","Africa",1
"Andrena arsinoe Schmiedeknecht, 1900","points","Africa",2
"Andrena asperrima Pérez, 1895","points","Africa",12
