name_long,mean_roadDist,median_roadDist
Syria,3808.12438655796,3000.57283175056
Portugal,3273.00019821319,2706.00498619739
Lebanon,1025.45232601948,535.081821212513
Republic of Korea,3604.61485686204,2895.53883167309
Cyprus,1944.1367127054,1623.19997872957
Greece,2349.74268772118,1842.88039984922
Northern Cyprus,1265.01817032652,957.139090290032
Turkmenistan,8039.00595746548,5135.28771050659
Malta,1444.43949192559,1534.79848998968
Turkey,3398.70569503827,2799.49599501253
Italy,2831.97131335769,2270.21834413079
Tajikistan,8140.94103414496,5810.9066585138
Uzbekistan,8796.64584788834,4972.5944005607
Dem. Rep. Korea,4139.4635641569,3236.60845203628
Azerbaijan,3590.46794624498,2763.64386547063
Armenia,3400.9012760088,2828.08654714233
Kyrgyzstan,6820.22324463598,4864.86430478725
Albania,3519.02845128064,2746.510739188
Kazakhstan,5328.59969606537,4028.19423778102
Macedonia,3186.2289780299,2508.83951334244
Georgia,3810.96078913168,3129.21179070647
Russian Federation,51382.6485556106,17744.6826156019
Bulgaria,2801.93125032439,2176.09081219401
Mongolia,11124.0686649357,6796.85626100602
Canada,180838.467974103,126678.508517414
Montenegro,3636.96365433703,2916.55216917827
Kosovo,3479.1921592738,2749.95721719917
Serbia,2840.01118848031,2302.1998556556
Andorra,1200.4219334029,1691.48471982151
Croatia,3508.29411401567,2765.54877213338
Bosnia and Herzegovina,3886.52858283994,3343.55944973973
Romania,2826.17491418304,2131.73651923984
San Marino,480.843096844218,480.843096844218
Ukraine,2877.20018659936,2298.59737868456
Slovenia,3960.6771162052,3076.36012504685
Moldova,2258.30110586309,1780.05318409536
Hungary,3270.80768360037,2608.22395862106
Switzerland,3099.66585468757,2481.95942097317
Austria,3758.86269596739,2926.52321861476
Saint Pierre and Miquelon,18601.7102331176,15770.4292593821
Liechtenstein,3356.8937518491,3356.8937518491
Germany,3452.26534467925,2679.36692978424
Slovakia,3209.06362318874,2554.20187848018
Czech Republic,4020.04457301053,3120.42398859297
Poland,3099.30431308834,2405.14444023972
Jersey,227.970024949689,227.970024949689
Guernsey,498.61589060497,498.61589060497
Luxembourg,3139.16968282931,2591.08630608947
Belgium,2362.2549050571,1827.05030458093
United Kingdom,912.473885360289,379.615901593797
Belarus,2888.72588821464,2359.02415372212
Ireland,2911.62410734035,2394.62518105615
Lithuania,2437.6284362389,1996.70942589882
Isle of Man,246.209290217272,243.07927479682
Denmark,2637.4816709771,1985.57660244642
Sweden,5095.27257106311,2953.68044632868
Latvia,2853.35921631733,2322.79412857916
Estonia,3040.26617399312,2344.9949651232
Norway,268534.489415434,6534.54068012372
Greenland,568933.380271826,548304.814282708
Finland,5800.13821615253,4354.39884240574
Åland Islands,1495.60367505169,1337.58283756523
Faeroe Islands,1473.6287135838,774.392228600234
Iceland,8032.56961770954,3653.58632401753
