"continent","scale","nChao","iChao_est","iChao_lower","iChao_upper","observedRichness","level","niNEXT","iNEXT_est","iNEXT_lower","iNEXT_upper","iNEXT_increasePercent","iNEXT_increase","iChao_increasePercent","iChao_increase"
"Africa","Continent",254147.5,6644.9085,6510.496,6792.3544999999995,4976,"Continent",254147.5,6344.443990269794,6181.957860192377,6513.658049082891,27.500884048830265,1368.443990269794,33.539157958199354,1668.9084999999995
"Asia","Continent",198360.5,8708.945,8528.682499999999,8902.7475,6184,"Continent",198360.5,8275.592965005559,8057.924148946481,8473.483704432398,33.822654673440475,2091.5929650055587,40.83028783958602,2524.9449999999997
"Europe","Continent",3390912.5,3206.9404999999997,3114.3594999999996,3310.6085000000003,2516,"Continent",3390912.5,3084.226817385833,2974.0083199631763,3189.5882069809877,22.584531692600663,568.2268173858329,27.461864069952306,690.9404999999997
"North America","Continent",2772783,6536.17,6420.1145,6666.733,5526,"Continent",2772783,6367.530656118126,6240.958143102877,6493.428037610102,15.228567790773171,841.530656118126,18.280311255881298,1010.17
"Oceania","Continent",267828,2521.029,2445.03,2612.611,2049,"Continent",267828,2451.202804934797,2356.4576298866264,2540.5008898546093,19.629224252552312,402.20280493479686,23.037042459736455,472.029
"South America","Continent",398767.5,5616.912,5496.6725,5750.909,4349,"Continent",398767.5,5388.743948597173,5244.888849423178,5532.7535276638755,23.907655750682277,1039.743948597173,29.154104391814208,1267.9120000000005
