"variable","Name","Observed","Estimate","Est_s.e.","95%Lower","95%Upper","n","s.e.","groupNo"
"Sri Lanka","iNEXT",142,195.27912822241976,20.384892392541943,155.32547330431302,235.2327831405265,"5151",NA,20
"Vietnam","iNEXT",118,186.37280701754386,24.93826456005244,137.49470664290948,235.25090739217825,"918",NA,24
"Botswana","iNEXT",154,202.3711691743745,16.77743463614662,169.48800153455227,235.25433681419673,"809",NA,3
"Botswana","iNEXT",154,202.5464757709251,16.7031086149551,169.8089844557524,235.2839670860978,"908",NA,3
"Togo","iNEXT",75,164.27956989247312,36.22740205124505,93.27516661858036,235.28397316636588,"93",NA,22
"Rep. Congo","iNEXT",119,189.1026567944251,23.60705714356431,142.83367501206004,235.37163857679013,"574",NA,17
"Nicaragua","iNEXT",180,209.44642230356516,13.252968201950113,183.47108193948839,235.42176266764193,"3626",NA,15
"Botswana","iNEXT",154,203.1635068299576,16.45983436356506,170.90282428587534,235.42418937403988,"772",NA,3
"Gabon","iChao",NA,219.408,NA,207.623,235.45,"1064",7.031,8
"Burundi","iNEXT",87,168.94256756756755,33.97850330494947,102.3459248412914,235.5392102938437,"111",NA,4
"Rep. Congo","iNEXT",119,192.40552699228792,22.016328712055607,149.25431564486382,235.556738339712,"778",NA,17
"Botswana","iNEXT",154,202.72150689294327,16.775353211095954,169.84241877125686,235.60059501462968,"709",NA,3
"Sri Lanka","iChao",NA,204.871,NA,184.198,235.671,"4990",12.923,20
"Gabon","iChao",NA,219.276,NA,207.309,235.677,"1142",7.165,8
"Trinidad and Tobago","iChao",NA,189.843,NA,163.159,235.689,"2410",17.971,22
"Belize","iNEXT",163,203.31765163297047,16.522185046361482,170.93476399619573,235.7005392697452,"2572",NA,3
"Botswana","iChao",NA,211.472,NA,194.411,235.736,"980",10.411,3
"Iraq","iNEXT",107,185.65665098374677,25.5558649810016,135.56807602721526,235.7452259402783,"334",NA,10
"Jersey","iNEXT",120,192.25255102040816,22.19176295493261,148.7574948752901,235.74760716552623,"1050",NA,11
"Botswana","iNEXT",154,199.02077393075356,18.740805326070188,162.28947045037958,235.75207741112754,"982",NA,3
"Burundi","iNEXT",87,175.23399209486166,30.87717886806468,114.71583356925368,235.75215062046965,"110",NA,4
"Moldova","iChao",NA,176.203,NA,145.769,235.793,"225",21.967,14
"Guernsey","iChao",NA,182.665,NA,152.336,235.8,"594",20.637,9
"Saudi Arabia","iChao",NA,176.798,NA,148.384,235.814,"934",21.167,19
"Belize","iNEXT",163,205.00746293299872,15.735051288338962,174.16732911296378,235.84759675303366,"2753",NA,3
"Botswana","iNEXT",154,204.7074075401376,15.88991072405524,173.56375480343257,235.85106027684265,"872",NA,3
"Belize","iChao",NA,211.008,NA,194.62,235.888,"2925",10.345,3
"Sri Lanka","iNEXT",142,190.12475188684851,23.387836581044827,144.28543451169227,235.96406926200476,"5609",NA,20
"Trinidad and Tobago","iChao",NA,171.355,NA,144.704,235.978,"2240",21.59,22
"Moldova","iChao",NA,200.242,NA,174.974,235.982,"255",15.376,14
"Suriname","iNEXT",148,200.13797742012972,18.291067893841078,164.2881431094243,235.98781173083512,"905",NA,21
"Senegal","iNEXT",143,204.81367611979857,15.908215906487435,173.634145884796,235.99320635480115,"539",NA,19
"Liberia","iChao",NA,195.176,NA,167.57,236.019,"232",17.194,12
"Trinidad and Tobago","iNEXT",126,189.34637533875338,23.813371437952327,142.67302496989203,236.01972570761473,"2214",NA,22
"Nicaragua","iNEXT",180,211.38283166109252,12.58826060991942,186.71029423764625,236.0553690845388,"3705",NA,15
"Vietnam","iChao",NA,192.171,NA,164.594,236.07,"874",17.844,24
"Jersey","iNEXT",120,190.46121336059986,23.270427459766246,144.85201363460612,236.0704130865936,"978",NA,11
"Suriname","iChao",NA,209.736,NA,191.271,236.081,"778",11.287,21
"Guernsey","iChao",NA,182.924,NA,152.535,236.097,"591",20.664,9
"Suriname","iNEXT",148,198.20495112105442,19.346731961199893,160.28605325855267,236.12384898355617,"709",NA,21
"Nicaragua","iChao",NA,218.349,NA,206.191,236.152,"3952",7.532,15
"Moldova","iNEXT",114,196.53987850284147,20.22004000777498,156.90932832164353,236.17042868403942,"243",NA,14
"Liberia","iChao",NA,193.98,NA,165.896,236.175,"241",17.633,12
"Liberia","iChao",NA,187.257,NA,157.287,236.221,"258",19.658,12
"Suriname","iChao",NA,208.34,NA,189.268,236.226,"744",11.807,21
"Suriname","iChao",NA,208.08,NA,188.902,236.251,"709",11.901,21
"Suriname","iNEXT",148,198.21740176423415,19.41375189170895,160.16714725168828,236.26765627678003,"860",NA,21
"El Salvador","iChao",NA,180.673,NA,151.887,236.287,"1884",20.629,7
"Vietnam","iNEXT",118,181.1119173792605,28.16729377365646,125.90503604093455,236.31879871758645,"874",NA,24
"Suriname","iNEXT",148,200.01887376237624,18.538876900002442,163.6833427245499,236.3544048002026,"808",NA,21
"Ghana","iChao",NA,181.493,NA,148.861,236.373,"383",21.731,8
"Sierra Leone","iNEXT",87,178.8029411764706,29.37759605859651,121.22391094925561,236.38197140368558,"170",NA,19
"Belize","iChao",NA,209.257,NA,192.148,236.408,"2694",11.053,3
"Yemen","iChao",NA,176.014,NA,140.704,236.409,"246",23.724,24
"Belize","iChao",NA,212.438,NA,196.294,236.409,"2572",10.074,3
"Suriname","iNEXT",148,200.00181436210846,18.580834542430573,163.58404785624677,236.41958086797015,"748",NA,21
