"variable","Name","Estimate","s.e.","95%Lower","95%Upper","n","Observed","Est_s.e."
"Africa","iNEXT",6387.2979315352695,NA,6228.968979363629,6545.62688370691,"257196",4976,80.78156201875096
"Asia","iNEXT",8239.184861267608,NA,8017.077469208992,8461.292253326223,"194971",6184,113.32218031074542
"Europe","iNEXT",3125.0088294309994,NA,3017.55018876831,3232.467470093689,"3391334",2516,54.82684452893501
"North America","iNEXT",6288.229344583564,NA,6154.357577780559,6422.101111386569,"2771929",5526,68.30317692517228
"Oceania","iNEXT",2458.6443148442636,NA,2347.824748519458,2569.4638811690693,"269772",2049,56.541634029470096
"South America","iNEXT",5391.577437586095,NA,5234.595983041813,5548.558892130376,"399637",4349,80.09405059609826
"Africa","iNEXT",6271.9180440494265,NA,6111.485188462957,6432.350899635896,"251085",4976,81.8550018530664
"Asia","iNEXT",8169.630963304958,NA,7946.4769503068155,8392.7849763031,"197334",6184,113.85618039839179
"Europe","iNEXT",3082.72205530273,NA,2951.4462939132472,3213.997816692213,"3395183",2516,66.97866002894405
"North America","iNEXT",6460.564678776738,NA,6334.972012840475,6586.157344713001,"2775635",5526,64.07906825172402
"Oceania","iNEXT",2419.228737756111,NA,2328.8257955439117,2509.6316799683104,"269086",2049,46.12479766224598
"South America","iNEXT",5410.153650903676,NA,5265.522899037923,5554.784402769429,"396890",4349,73.79255588703778
"Africa","iNEXT",6312.193025489086,NA,6141.66888296884,6482.7171680093315,"249827",4976,87.00371224436697
"Asia","iNEXT",8252.61252558431,NA,8036.475151267284,8468.749899901339,"195871",6184,110.27619692090876
"Europe","iNEXT",3097.0628720700984,NA,2978.7758446045473,3215.3498995356495,"3389938",2516,60.351633192540326
"North America","iNEXT",6376.370707509471,NA,6253.912227707302,6498.8291873116395,"2770089",5526,62.47996430960246
"Oceania","iNEXT",2484.976888769011,NA,2397.3076201469557,2572.6461573910665,"266029",2049,44.730040609714976
"South America","iNEXT",5345.563178588715,NA,5201.083116003909,5490.043241173522,"394997",4349,73.71567218808453
"Africa","iNEXT",6274.355389304032,NA,6115.218792396089,6433.491986211974,"253839",4976,81.19363323162655
"Asia","iNEXT",8116.927172572174,NA,7912.841183215365,8321.013161928982,"196135",6184,104.12741813962546
"Europe","iNEXT",3127.117331450871,NA,3014.890108539996,3239.344554361746,"3393780",2516,57.25983936241119
"North America","iNEXT",6407.158183317771,NA,6285.770342072659,6528.546024562882,"2769866",5526,61.93371011028934
"Oceania","iNEXT",2425.951541051145,NA,2335.2620226313497,2516.64105947094,"269228",2049,46.271012699795776
"South America","iNEXT",5291.949001006689,NA,5153.5904799170485,5430.30752209633,"400156",4349,70.5923793401283
"Africa","iNEXT",6394.6213122509635,NA,6221.370536803278,6567.872087698649,"255451",4976,88.39487705604063
"Asia","iNEXT",8315.20443528167,NA,8113.192701577922,8517.216168985418,"201236",6184,103.06910499233202
"Europe","iNEXT",3012.0742339050885,NA,2916.9270796680053,3107.2213881421717,"3391725",2516,48.545358479845476
"North America","iNEXT",6323.449425377414,NA,6185.551971291696,6461.346879463132,"2775995",5526,70.35713675018293
"Oceania","iNEXT",2456.2516051662756,NA,2366.5228749265225,2545.9803354060286,"267959",2049,45.780805641084164
"South America","iNEXT",5406.997335361615,NA,5253.812814047677,5560.181856675553,"397052",4349,78.1568041669325
"Africa","iNEXT",6252.735167388537,NA,6094.462244202026,6411.008090575047,"257190",4976,80.75297527655977
"Asia","iNEXT",8141.845310326515,NA,7908.817220925679,8374.87339972735,"201128",6184,118.89406705374768
"Europe","iNEXT",3087.21983150936,NA,2988.072732186985,3186.3669308317353,"3390218",2516,50.586184289321075
"North America","iNEXT",6381.591796737774,NA,6263.52190611881,6499.661687356737,"2773166",5526,60.240847051417234
"Oceania","iNEXT",2475.676762597239,NA,2375.549279232201,2575.8042459622766,"266678",2049,51.0863894208417
