"level","n","observedRichness","iNEXT_est","iNEXT_lower","iNEXT_upper","iNEXT_increasePercent","iChao_est","iChao_lower","iChao_upper","iChao_increasePercent"
"Africa",252854,4976,6357,6176,6537,21.72,6665,6530,6812,25.34
"Asia",195883,6184,8102,7910,8295,23.68,8529,8369,8700,27.49
"Europe",3388179,2516,3113,3016,3210,19.18,3238,3143,3348,22.31
"North America",2774701,5526,6367,6233,6501,13.21,6528,6412,6660,15.35
"Oceania",265536,2049,2415,2337,2493,15.16,2481,2411,2564,17.41
"South America",401983,4349,5492,5340,5645,20.81,5736,5601,5885,24.17
