scientificName,n,doiORurl,publicationYear,Notes
"Lasioglossum meruraptor Pauly, 2019",4,https://www.researchgate.net/publication/333310970_Collecting_bees_on_Mount_Meru_in_Tanzania_and_the_discovery_of_a_new_cleptoparasitic_species_of_Lasioglossum_Hymenoptera_Apoidea_Halictidae,2019,
"Augochlora fulgidana Friese, 1925",2,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Austronomia rainandriamampandryi Pauly, 2001",NA,NA,NA,
Pseudagapostemon mendocinus,NA,NA,NA,
"Andrena kamtschatkaensis Friese, 1914",2,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Nomada odontophora Kohl, 1905",NA,NA,NA,
"Augochlora rohdei (Vachal, 1911)",1,https://www.researchgate.net/publication/268383578_Joseph_Vachal_1838-1911_French_entomologist_and_politician,2012,
"Rophites leclercqi Schwammberger, 1971",3,http://www.atlashymenoptera.net/pagetaxon.aspx?TX_ID=3745,2011,
"Meroglossa ocellata Michener, 1965",8,book,NA,"you do this one!!!! You published on it, nerd"
"Nomada schmidti Schwarz, Smit and Ockermüller, 2020",NA,NA,NA,
"Exoneura abstrusa Cockerell, 1922",1,https://www.biodiversitylibrary.org/partpdf/5029,1922,
"Hexantheda entrerriana Roig-Alsina, 2006",NA,zootaxa,NA,
Eucera matalae,NA,NA,NA,
"Oxaea alvarengai Moure and Urban, 1963",4,https://www.scielo.br/j/rbzool/a/hNYZQSv3D8zmb538hb3w68P/?format=pdf&lang=pt,1963,
"Hylaeus leleji Proshchalykin and Dathe, 2016",1,https://www.researchgate.net/publication/307875597_A_new_species_of_the_genus_Hylaeus_Fabricius_1793_Hymenoptera_Colletidae_from_Siberia,2016,
Nomioides hybridus,NA,NA,NA,
"Anthidium caspicum Morawitz, 1880",2,https://www.zobodat.at/pdf/LBB_0054_1_0195-0201.pdf,2022,
"Scrapter punctulatus Kuhlmann, 2020",1,https://europeanjournaloftaxonomy.eu/index.php/ejt/article/view/937/2241,2020,
"Colletes grisellus Michener, 1989",1,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1174&context=bee_lab_mi,1989,
"Palaeorhiza aenea Hirashima and Lieftinck, 1983",2,https://archive.org/details/esakia-20-093-129,1983,
"Ceratina albopicta Cockerell, 1937",NA,NA,NA,
"Colletes brunneitarsis Noskiewicz, 1958",1,https://www.researchgate.net/publication/267758154_The_genus_Colletes_Hymenoptera_Apoidea_Colletidae_in_Central_Asia,2013,
"Lasioglossum chloronotulum (Cockerell, 1940)",1,NA,NA,
"Nomada cordilabris Schwarz, 1990",1,https://www.zobodat.at/pdf/ENTS_S5_0001-0056.pdf,1990,
"Augochloropsis holmbergi (Schrottky, 1910)",2,https://www.researchgate.net/publication/231181706_Curt_Schrottky_1874-1937_South_American_entomology_at_the_beginning_of_the_20th_century_Hymenoptera_Lepidoptera_Diptera,2009,
"Anthidium masunariae Urban, 2001",1,https://www.researchgate.net/publication/262751861_New_species_of_Anthidium_Fabricius_from_Chile_Argentina_and_Peru_Megachilidac_Hymenoptera,2001,
"Centris thelyopsis Vivallo and Melo, 2009",5,https://zenodo.org/records/6213803,2009,
"Megachile compta Vachal, 1908",1,https://www.researchgate.net/publication/268383578_Joseph_Vachal_1838-1911_French_entomologist_and_politician,2012,
"Dufourea muoti Vachal, 1900",20,https://www.researchgate.net/publication/268383578_Joseph_Vachal_1838-1911_French_entomologist_and_politician,2012,
"Lasioglossum schachti (Warncke, 1984)",NA,NA,NA,
"Coelioxys surinamensis Friese, 1922",1,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Protandrena pecki (Cockerell, 1937)",NA,NA,NA,
"Lasioglossum signicostatuloides (Strand, 1914)",NA,NA,NA,
Osmia spinicoxa,4,https://treatment.plazi.org/id/9341B44A1016A14703E3FDBEFEF2FBC5,2020,
"Lasioglossum chalybaeum (Friese, 1917)",1,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Augochlora_sensu_lato euryale (Schrottky, 1906)",1,https://treatment.plazi.org/GgServer/html/507B87CDAD34B505FF722E50C8CEF92D,1906,
"Hylaeus kaszabi Dathe, 1986",2,https://treatment.plazi.org/id/A66987C5-FFA9-FFDB-F395-94A2FD8FCA84,1986,
"Coelioxys coloratulus Cockerell, 1939",NA,NA,NA,
"Halictus ferreotus Fan, 1991",5,https://www.researchgate.net/publication/231181498_A_TAXONOMIC_STUDY_OF_THE_SUBGENUS_VESTITOHALICTUS_OF_THE_GENUS_HALICTUS_HYMENOPTERA_HALICTIDAE_HALICTINAE_FROM_CHINA,2007,
"Coelioxys huarpum Holmberg, 1916",1,https://www.biodiversitylibrary.org/partpdf/97747,1916,
"Nomada ochrohirta Swenk, 1913",3,https://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1037&context=museumbulletin,1952,
"Hylaeus lionotus (Alfken, 1909)",2,https://www.researchgate.net/publication/357632376_A_Checklist_of_the_bees_of_the_genus_Hylaeus_Fabricius_1793_Hymenoptera_Apoidea_Colletidae_of_Iran,2022,
"Ruizantheda aerugineus Coelho, Felizardo and Engel, 2014",3,https://www.researchgate.net/publication/270221714_Three_new_species_of_the_bee_genus_Ruizantheda_sensu_lato_Hymenoptera_Halictidae_Caenohalictina,2014,
"Sphecodes fumipennis Smith, 1853",4,https://tb.plazi.org/GgServer/html/DFEE4DF2F5E250579E109233D24B1068/1,1853,
"Nomada mitaii Proshchalykin and Lelej, 2010",5,https://treatment.plazi.org/id/CA2687B39C524C09FF1FFA2E9DC0D34B,2010,
"Augochloropsis aglaia (Holmberg, 1903)",NA,NA,NA,
"Coelioxys opacicollis Friese, 1922",1,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Caenaugochlora beethoveni Engel, 1995",1,https://www.researchgate.net/publication/273188118_Three_new_species_of_the_bee_genus_Caenaugochlora_from_Central_America_and_Colombia_Hymenoptera_Halictidae,2014,
"Anthophora flavonigra (Wu, 1988)",1,wu 1988,1988,
"Centris vellutina Vivallo, 2022",NA,book,NA,
"Megachile pasteelsi (van der Zanden, 1998)",2,https://www.zobodat.at/pdf/LBB_0030_2_0523-0527.pdf,1998,
"Megachile subsericeicauda Rayment, 1939",NA,NA,NA,
"Chilicola pangue Toro and Moldenke, 1979",1,https://zenodo.org/records/6262289,1979,
"Augochloropsis cupreotincta (Cockerell, 1900)",1,https://www.jstor.org/stable/4062631,1900,
"Hasinamelissa didyensis (Brooks and Pauly, 2001)",NA,NA,NA,
"Exoneura subbaculifera Rayment, 1948",1,https://www.biodiversitylibrary.org/partpdf/244892,1948,
"Lasioglossum euxanthopus Pesenko, 1986",5,https://treatment.plazi.org/id/038387D0EA67FFB665C2F935A861FEA4,2018,
"Ceratina fastigiata Fox, 1896",1,https://www.jstor.org/stable/pdf/25084453.pdf?refreqid=fastly-default%3A5a21cbf7a4b698de133be8b395cda3a3&ab_segments=&origin=&initiator=&acceptTC=1,1983,
"Andrena iranella Popov, 1940",5,https://treatment.plazi.org/GgServer/html/7C5687D4FF8AFA0371DEFF0EFDEA6129/1,2023,
