scientificName,n,doiORurl,publicationYear,Notes
"Maynenomia poonaensis Pauly, 2009",2,http://zoologie.umons.ac.be/hymenoptera/biblio/01000/Pauly%202009%20Oriental%20Nomiinae%20light.pdf,2009,
"Lasioglossum circularum Fan and Ebmer, 1992",4,https://doi.org/10.11646/zootaxa.4044.4.3,2015,
"Lasioglossum phoebos Ebmer, 1978",3,https://www.zobodat.at/pdf/LBB_0030_1_0365-0430.pdf,1998,
"Nomada ressli Schwarz and Smit, 2018",4,https://www.zobodat.at/pdf/ENT_0039_0881-0908.pdf,2018,
"Megachile povolnyi (Tkalců, 1969)",NA,NA,NA,
"Colletes himalayensis Kuhlmann, 2002",2,https://doi.org/10.11646/zootaxa.5022.1.1,2021,
"Tapinotaspis latitarsis (Friese, 1899)",2,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Samba turkana Packer, 2015",8,https://zenodo.org/records/6120466,2015,
"Hylaeus birmanicus Dathe, 2011",10,https://zenodo.org/records/10084472,2011,
"Protandrena adjuncta (Timberlake, 1975)",2,https://www.researchgate.net/publication/327120700_Situacion_actual_del_conocimiento_de_la_fauna_abejas_Apoidea_Anthophila_del_estado_de_Chiapas_Mexico,2018,
"Sphecodes manskii (Rayment, 1935)",2,https://zookeys.pensoft.net/articles.php?id=2710,2011,
"Ceratina wagneri Friese, 1910",1,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Austronomia tapiniensis Pauly, 2009",4,http://zoologie.umons.ac.be/hymenoptera/biblio/01000/Pauly%202009%20Oriental%20Nomiinae%20light.pdf,2009,
"Melitta fulvescenta Wu, 2000",1,wu 2000,2000,
"Halictus argilos Ebmer, 2005",2,https://www.researchgate.net/publication/31900403_Contributions_to_the_Halictid_Fauna_of_the_Eastern_Palaearctic_Region_Genus_Seladonia_Robertson_Hymenoptera_Halictidae_Halictinae,2006,
"Anthrenoides lavrensis Urban, 2007",3,https://www.scielo.br/j/rbent/a/bR4tZy5KTXk3yhpF9D7yHSB/?lang=pt,2007,
"Lasioglossum depokense (Blüthgen, 1928)",NA,NA,NA,
"Palaeorhiza purpureoventris Hirashima, 1975",1,https://catalog.lib.kyushu-u.ac.jp/opac_detail_md/?lang=1&amode=MD100000&bibid=2376,1978,
"Halictus kuschkensis Ebmer, 1975",2,http://www.atlashymenoptera.net/pagetaxon.aspx?tx_id=1217,NA,
"Lasioglossum fulviventre (Friese, 1924)",1,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Lipotriches generanii Pauly, 2014",100,https://www.researchgate.net/publication/283854274_Les_Abeilles_des_Graminees_ou_Lipotriches_Gerstaecker_1858_sensu_stricto_Hymenoptera_Apoidea_Halictidae_Nomiinae_de_l'Afrique_subsaharienne,2014,
"Coelioxys elatus Holmberg, 1916",NA,NA,NA,
"Heriades filicornis Friese, 1915",2,https://doi.org/10.11646/zootaxa.1833.1.1,2008,
"Andrena popovi Osytshnjuk, 1985",1,NA,NA,
"Lasioglossum lieftincki (Michener, 1980)",1,https://digitallibrary.amnh.org/items/ee2faeaa-0463-45d9-896c-4415cd975d11,1980,
"Centris sertanicola Vivallo, 2022",NA,book,NA,
"Hylaeus guptai Saini and Chandra, 2021",2,https://www.tandfonline.com/doi/full/10.1080/00305316.2021.1930229,2022,
"Colletes diodontus Benoist, 1958",1,https://www.researchgate.net/publication/316082222_The_bees_of_the_genus_Colletes_Latreille_Hymenoptera_Colletidae_of_the_Palaearctic_Region_taxonomic_diversity_and_distribution_patterns,2017,
"Megachile nigrofulva Hedicke, 1940",4,https://treatment.plazi.org/id/481E7707FFF94E36FF5AFD32FD20FEDC/8,2018,
"Megachile corduvensis Schrottky, 1909",1,http://www.faunaparaguay.com/schrottky.pdf,2009,
"Colletes montefragus Raw, 1984",6,https://www.scielo.br/j/rbzool/a/W9NnsQZfvs5zSw3rzrcRB8S/?format=pdf&lang=pt,2002,
"Chilicola venticola Packer, 2004",5,https://treatment.plazi.org/id/03AB87B4-FFAD-FFC8-3F56-FB32FDD8FA79,2004,
"Anthidium flavotarsum Wu, 1982",1,wu 1982,1982,
"Lasioglossum ocellare (Michener, 1980)",1,https://digitallibrary.amnh.org/items/ee2faeaa-0463-45d9-896c-4415cd975d11,1980,
"Psaenythia tucumana Holmberg, 1921",2,https://moure.cria.org.br/catalogue?id=83907,2002,
"Megachile albispinis Vachal, 1908",1,https://www.researchgate.net/publication/268383578_Joseph_Vachal_1838-1911_French_entomologist_and_politician,2012,
"Sphegocephala castaneiceps (Benoist, 1964)",19,http://www.atlashymenoptera.net/biblio/01000/Pauly_2001_Nomiinae_Madagascar.pdf,2001,
"Paratetrapedia savanicola (Aguiar, 2009)",21,https://zenodo.org/records/6215291,2009,
"Eucera mavromoustakisi (Tkalců, 1984)",1,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7154044/,2020,
"Perdita stabilis Timberlake, 1968",1,https://www.zportman.com/uploads/8/3/5/4/83540892/timberlake-1968.pdf,1968,
"Coelioxys calabarensis Pasteels, 1968",NA,NA,NA,
